,0
0,-1595.1668870131095
1,-1589.873940952886
2,-1590.3456807089563
3,-1587.3022722046474
4,-1579.9222850915248
5,-1581.2675962037883
6,-1578.2303733490464
7,-1576.5110467739635
8,-1574.8331353582557
9,-1567.2183611632688
10,-1564.357067207924
11,-1566.1887282864238
12,-1559.2701957139511
13,-1561.7099835606823
14,-1562.4967740161828
15,-1561.5075472653646
16,-1559.5604810979946
17,-1554.8542003359757
18,-1554.796356094864
19,-1549.9264832381684
20,-1549.7142221191373
21,-1549.9264284950625
22,-1550.9249136293058
23,-1551.805889024023
24,-1550.0650379979083
25,-1547.5001300601357
26,-1549.8049246543385
27,-1549.6652787683195
28,-1551.064106463788
29,-1551.7666021938232
30,-1548.973103344187
31,-1546.6632845125755
32,-1546.192016030623
33,-1545.3785451116614
34,-1542.7144697512833
35,-1540.130067766724
36,-1540.2089953144125
37,-1536.6360209482953
38,-1533.226172056447
39,-1534.226482020901
40,-1528.7436132162302
41,-1524.628961589334
42,-1521.6477671601315
43,-1519.9035004813272
44,-1521.631998582715
45,-1518.4437733060809
46,-1517.3126826339883
47,-1515.4669970004452
48,-1517.14318603448
49,-1514.448098311333
50,-1510.8803662839084
51,-1513.6756959844301
52,-1514.6754938957413
53,-1515.934383866498
54,-1513.2552175265164
55,-1507.1238322651466
56,-1498.5536981990206
57,-1494.3224142822244
58,-1491.336449445149
59,-1476.4571914464186
60,-1470.84703354591
61,-1457.401687158858
62,-1445.4889657611864
63,-1433.5729628039046
64,-1420.5485120037927
65,-1406.3521518738996
66,-1393.586969629052
67,-1380.9460350218974
68,-1368.4635956596787
69,-1356.064567012103
70,-1342.5227342425005
71,-1329.1167346267
72,-1318.8319809850939
73,-1308.1726663976176
74,-1296.4149454198584
75,-1284.7584775365356
76,-1273.2399957480657
77,-1261.7915858977988
78,-1252.6006955256253
79,-1240.0854325827854
80,-1228.9528832976953
81,-1219.0836705163808
82,-1208.2913626202728
83,-1196.2137143954676
84,-1187.711409861063
85,-1175.8529561731784
86,-1166.7357429041185
87,-1156.332476446686
88,-1146.1225531277487
89,-1135.966819796686
90,-1125.937288458651
91,-1117.394409394338
92,-1107.501805800473
93,-1097.7056128245158
94,-1089.1684424817097
95,-1080.726899320024
96,-1071.253495600611
97,-1063.1104920270045
98,-1053.7635199967249
99,-1044.5567301254316
100,-1034.1298086662491
101,-1027.266786209666
102,-1020.8147090756557
103,-1013.0371095741776
104,-1004.1505162547242
105,-995.4464201048612
106,-988.022494562058
107,-979.4011194118926
108,-970.9741987833838
109,-965.1688066900001
110,-959.2890680362572
111,-951.0565410353673
112,-941.6061510664696
113,-933.4718303098796
114,-925.5687092331615
115,-920.1505589067999
116,-912.260679957368
117,-904.4709305485833
118,-898.6280053626004
119,-892.2071297688307
120,-884.5742968037148
121,-878.3362906212647
122,-870.8968939118607
123,-863.5556725792949
124,-854.940697670594
125,-847.686552171856
126,-840.5301018791854
127,-833.4733441434979
128,-826.4725003478916
129,-820.9535916191926
130,-813.9315615184714
131,-807.0815601475016
132,-800.3173448746862
133,-793.6240150230669
