,0
0,-159.51668870131104
1,-158.9873940952887
2,-159.03456807089572
3,-158.7302272204648
4,-157.99222850915254
5,-158.1267596203789
6,-157.8230373349047
7,-157.6511046773964
8,-157.48331353582563
9,-156.72183611632695
10,-156.43570672079247
11,-156.61887282864242
12,-155.92701957139516
13,-156.17099835606828
14,-156.24967740161836
15,-156.15075472653652
16,-155.95604810979953
17,-155.48542003359762
18,-155.47963560948645
19,-154.99264832381687
20,-154.97142221191373
21,-154.99264284950624
22,-155.09249136293056
23,-155.18058890240226
24,-155.0065037997908
25,-154.75001300601355
26,-154.98049246543383
27,-154.96652787683192
28,-155.10641064637878
29,-155.17666021938228
30,-154.89731033441865
31,-154.6663284512575
32,-154.61920160306224
33,-154.53785451116607
34,-154.27144697512824
35,-154.01300677667234
36,-154.02089953144122
37,-153.6636020948295
38,-153.3226172056447
39,-153.42264820209007
40,-152.874361321623
41,-152.4628961589334
42,-152.16477671601314
43,-151.99035004813268
44,-152.16319985827147
45,-151.84437733060807
46,-151.73126826339882
47,-151.54669970004454
48,-151.71431860344802
49,-151.44480983113334
50,-151.22731877451756
51,-151.43949768551224
52,-151.43188678359425
53,-151.42408763667797
54,-151.0161173690651
55,-150.29920912159702
56,-149.57425752872885
57,-148.85196033130111
58,-147.9973804141679
59,-146.65371956243698
60,-145.3059555799204
61,-143.977489718342
62,-142.80075739731046
63,-141.62686496367533
64,-140.3409908492631
65,-138.93864294125646
66,-137.67589553619874
67,-136.4316599992094
68,-135.19740442901795
69,-133.97845002375934
70,-132.6401356657284
71,-131.31600671625304
72,-130.2939375712235
73,-129.24215443095775
74,-128.08377353183585
75,-126.93441223739116
76,-125.80270608957389
77,-124.67750802960408
78,-123.78419734079311
79,-122.55380164496691
80,-121.45894212183761
81,-120.48570805383447
82,-119.4290148280767
83,-118.24039651731556
84,-117.40606622874901
85,-116.23629925748827
86,-115.33956755922955
87,-114.31304737355279
88,-113.30617180392782
89,-112.30306747502827
90,-111.31043647402466
91,-110.4733962515628
92,-109.49806479689478
93,-108.52874395888644
94,-107.68870674687588
95,-106.85468884012823
96,-105.9185471887432
97,-104.97831639293246
98,-104.05469285955462
99,-103.14444633037043
100,-102.11464675454303
101,-101.44172822574555
102,-100.81209002669394
103,-100.04501857559845
104,-99.17134759700103
105,-98.31145583855424
106,-97.58666951566039
107,-96.73913252765807
108,-95.90935112870473
109,-95.20697786458962
110,-94.63359040124683
111,-93.81967019300886
112,-92.88778545859935
113,-92.09059168827531
114,-91.30397301547622
115,-90.7859207238697
116,-90.00626498894748
117,-89.24125463897776
118,-88.68611338067247
119,-88.0562395594367
120,-87.69594759901216
121,-87.07027000576502
122,-86.3283185401185
123,-85.59493120750076
124,-84.74199691718472
125,-84.01797721599932
126,-83.30395310860301
127,-82.6048722541262
128,-81.91502194968193
129,-81.3683074602183
130,-80.67112256165386
131,-79.99249966798757
132,-79.32567062128743
133,-78.66566220059488
134,-78.02256797666995
135,-77.24879037455717
136,-76.76861973546664
137,-76.26638816942156
138,-75.63595982596634
139,-74.88556432116631
140,-74.45000574158104
141,-73.83893724118549
142,-73.23410361131155
143,-72.6380527018265
144,-72.04941491883174
145,-71.70146853813637
146,-71.26120755609587
147,-70.68057261973681
148,-69.97894269985001
149,-69.28659589789248
150,-68.72596812983507
151,-68.1719332726393
152,-67.76255201115029
153,-67.2285874062142
154,-67.00959220803009
155,-66.47554702451535
156,-65.94476249983474
157,-65.64794669781826
158,-65.22861826173157
159,-64.71731294081584
160,-64.07512683565551
161,-63.569702351317105
162,-63.27953530874408
163,-62.77323914820488
164,-62.27744049137815
165,-61.79075721703085
166,-61.56214732499818
167,-60.94856987451863
168,-60.469906495073786
169,-60.11141931146296
170,-59.647885734500036
171,-59.18314509099632
172,-58.726385268127935
173,-58.27056722442601
174,-57.823046310733126
175,-57.380136493269156
176,-57.172714164764066
177,-56.88710740123186
178,-56.725019095897316
179,-56.2884304768751
180,-56.02937207653443
181,-55.60443089350834
182,-55.301055276042824
183,-54.87739131276502
184,-54.45973775806549
185,-54.0507256621059
186,-53.64300112101499
187,-53.24013745430902
188,-52.83761104445202
189,-52.31260600643693
190,-51.92014710111615
191,-51.4106395949221
192,-50.90710150597025
193,-50.664211183991185
194,-50.514585936714255
195,-50.011108909974986
196,-49.77948156471377
197,-50.774633107152574
198,-50.395260697516726
199,-50.019491057330875
200,-49.649925504416565
201,-49.50413509985283
202,-49.34562706313183
203,-49.36363135843735
204,-49.000808016404015
205,-48.76321971726114
206,-48.52432012449881
207,-48.2802670539017
208,-47.79856680343164
209,-47.449047391950465
210,-47.104024680339435
211,-46.91968529498921
212,-46.58363199606254
213,-46.2453491670657
214,-45.91890863664318
215,-45.596788573880296
216,-45.576700135312564
217,-45.25538535765011
218,-44.938413672515
219,-44.623932420288355
220,-44.30998502352271
221,-44.00027507845328
222,-43.69703667277914
223,-43.399417009230895
224,-43.0979770454764
225,-43.04469206305954
226,-43.334533775318384
227,-43.17038536751247
228,-43.00283514468757
229,-42.69949209482262
230,-42.40492482189286
231,-42.11559898062949
232,-41.82450823624538
233,-41.54499876119846
234,-41.133870400848146
235,-40.85637191603642
236,-40.69482359636049
237,-40.42424741813847
238,-40.14960411620885
239,-39.995578790849144
240,-39.73023131410932
241,-39.45946219271273
242,-39.19190664292697
243,-39.05870955506682
244,-38.79593388620328
245,-38.5348405917177
246,-38.15067793854711
247,-37.89710225897701
248,-37.76428031546742
249,-37.66358157198171
250,-37.416093687508784
251,-37.173717825194394
252,-37.070291225133495
253,-36.70109194988124
254,-36.4645537282778
255,-36.46683240058974
256,-36.23110664668417
257,-36.00448098572767
258,-36.03311970764147
259,-35.93427183856802
260,-35.70165860842316
261,-35.478866632798116
262,-35.25418470934839
263,-35.02647068746354
264,-34.945697915713225
265,-34.59816685193527
266,-34.38557404535652
267,-34.04233599879273
268,-33.82752632405348
269,-33.87889493338254
270,-33.91830801268147
271,-33.823568823153266
272,-33.620084317016854
273,-33.41303439792232
274,-33.205208025383406
275,-33.227922950271214
276,-33.02497347480684
277,-32.82861454227417
278,-32.632842552686995
279,-32.553903862839185
280,-32.5656271188621
281,-32.51192700142226
282,-32.31098317755558
283,-32.25594844609693
284,-32.05301230255541
285,-31.868000922742766
286,-31.682924314853974
287,-31.63022930245533
288,-31.428775815185382
289,-31.115815080343197
290,-30.93455150007409
291,-30.755386008938046
292,-30.57855541862959
293,-30.407032794473285
294,-30.3526173483781
295,-30.17895566613919
296,-30.00996779221972
297,-29.711315574375345
298,-29.546655338074235
299,-29.25396966215606
300,-28.962873829819866
301,-30.166150171001515
302,-29.994883602981954
303,-29.69550302352427
304,-29.53379114274221
305,-29.50241605070463
306,-29.44332332440282
307,-29.377932646440012
308,-29.21327284504951
309,-29.32074568127182
310,-29.155454973641557
311,-29.150928628277537
312,-28.863686287375387
313,-28.704768700794457
314,-28.665757750226696
315,-28.623528395428583
316,-28.34029924058754
317,-28.37672547302247
318,-28.229457157349408
319,-27.95389447736392
320,-27.79985418649282
321,-27.655446585158916
322,-27.512579681209015
323,-27.497159244768312
324,-27.61595168415664
325,-27.624137208796334
326,-27.488460140192508
327,-27.343515369825194
328,-27.203019799335472
329,-26.93338589316452
330,-26.794740944836285
331,-26.77308728600258
332,-26.63959955306292
333,-26.487081300123094
334,-26.57968598731314
335,-26.58556679099414
336,-26.45268640531932
337,-26.189546905748333
338,-26.059201754945995
339,-26.063792353413113
340,-25.928319705367965
341,-25.79697199355937
342,-25.787730098557752
343,-25.66080149700261
344,-25.690783596081797
345,-25.56987805270148
346,-25.45655299174012
347,-25.34329623381872
348,-25.346128440572077
349,-25.406649802270085
350,-25.292717720720653
351,-25.398195043112807
352,-25.278494738137244
353,-25.161898878088213
354,-25.045419180230024
355,-24.927434946816636
356,-24.961653269843076
357,-24.844326545292105
358,-24.736267758508305
359,-24.62964988729919
360,-24.51737288076416
361,-24.3912281526829
362,-24.413086514978698
363,-24.41984904645848
364,-24.424530248213653
365,-24.319013308748964
366,-24.220745890375515
367,-24.122776024513232
368,-24.153991736712264
369,-24.045794027210864
370,-23.94701151124143
371,-24.0433049450915
372,-23.938166726309504
373,-23.840798250523623
374,-23.61378425805236
375,-23.52007675201148
376,-23.77610645314403
377,-23.552989735282576
378,-23.443701840615727
379,-23.34143101470812
380,-23.238824163356384
381,-23.142639800971306
382,-23.05391262554398
383,-23.071853596479883
384,-22.974383921137118
385,-22.87643368370284
386,-22.783977531126688
387,-22.682530101583367
388,-22.460115442615326
389,-22.372577056993883
390,-22.423572175421487
391,-22.333458734635027
392,-22.369750345548187
393,-22.281021905949594
394,-22.43930452482766
395,-22.217340827567664
396,-22.130013841747626
397,-22.042784400927246
398,-21.957180132565046
399,-22.02292850307577
400,-22.058689118037737
401,-21.967123804634344
402,-22.131184209993815
403,-22.04502213996625
404,-21.961468439090144
405,-22.000073189914627
406,-21.914086429149297
407,-21.82470675659582
408,-21.73871679607408
409,-21.655842325915568
410,-21.573859994185945
411,-21.496569857015203
412,-21.55203991513011
413,-21.725923382428444
414,-21.754536438159093
415,-22.140014935854275
416,-22.048052228055873
417,-21.952104201143328
418,-21.73486720151154
419,-21.51975016813066
420,-21.57468750136226
421,-21.491047115323084
422,-21.554973163833626
423,-21.343641171230477
424,-21.266169804441567
425,-21.186071484497052
426,-21.350284515157394
427,-21.382848369953926
428,-21.304664895707422
429,-21.22533557798546
430,-21.152173985141793
431,-21.083422817011424
432,-21.004127966963473
433,-20.796148926705154
434,-20.95062978480176
435,-21.035274396042503
436,-20.96112174152081
437,-20.881593195235922
438,-20.805693745368238
439,-20.991390906949178
440,-20.784075942397543
441,-20.849998184462514
442,-20.64279566386274
443,-20.575659570142125
444,-20.6050743562665
445,-20.5353061490506
446,-20.330411193154266
447,-20.3754317055999
448,-20.301728750296167
449,-20.334990946105282
450,-20.263198720911383
451,-20.065315879673864
452,-20.101785822827804
453,-20.16483432971692
454,-20.101490018621675
455,-19.90120418743594
456,-19.835390271191265
457,-19.894139129110744
458,-19.82683743335496
459,-19.76382658686903
460,-19.569289374032113
461,-19.508822428727584
462,-19.315088852635295
463,-19.25543119139784
464,-19.19556211297692
465,-19.13476883702184
466,-19.07746405204545
467,-19.012633710711057
468,-18.952515096755224
469,-18.895615392375312
470,-19.108821526247546
471,-19.171143952205075
472,-19.11099697638478
473,-19.248762035212426
474,-19.058471574754126
475,-19.132023105934135
476,-19.293714057643264
477,-19.352342266977523
478,-19.290456826079136
479,-19.101856899579058
480,-19.047153603780007
481,-18.99194862656494
482,-18.9345638314351
483,-19.009801650336094
484,-19.15593230523486
485,-19.362685785362768
486,-19.56264745726386
487,-19.500858003522225
488,-19.43663246479165
489,-19.49509990964148
490,-19.55163711014096
491,-19.500573702214773
492,-19.574072456817447
493,-19.64892592700388
494,-19.591968541195378
495,-19.533620544041923
496,-19.342079261902573
497,-19.276585905537893
498,-19.223516767316067
499,-19.173155728524534
500,-19.12032292221008
501,-19.207007340568516
502,-19.14143607017506
503,-19.21723073680781
504,-19.294310978990076
505,-19.37365079225934
506,-19.18214887835383
507,-19.123694896937128
508,-19.066050491322713
509,-19.002689992185463
510,-18.944018520830255
511,-18.755070860360867
512,-18.68421589896104
513,-18.630700165005198
514,-18.57578154146178
515,-18.624623949407308
516,-18.574538495566433
