,0
0,-1595.1668870131095
1,-1065.8722809907488
2,-1637.0479165599222
3,-1286.0048302780551
4,-849.3035608924009
5,-1714.4533963178721
6,-1277.5453107296025
7,-1406.2977158407436
8,-1408.7199052031924
9,-813.3557158595812
10,-1281.0889656287854
11,-1747.5231750578969
12,-874.3354710391474
13,-1803.2489803870812
14,-1640.3890291107577
15,-1463.5740989343535
16,-1366.8009305283654
17,-1088.9324048961023
18,-1549.0697762247921
19,-1067.809070425297
20,-1528.7003713350384
21,-1570.934859711664
22,-1649.7749419193901
23,-1639.0224531010047
24,-1377.7207864125783
25,-1293.574244220645
26,-1777.9795894804317
27,-1535.8403360524442
28,-1689.5480483151716
29,-1621.3136794673155
30,-1272.4167172301943
31,-1317.9912201830348
32,-1499.5364363173328
33,-1464.844924134456
34,-1278.9710090738477
35,-1284.2742712953725
36,-1548.022822535574
37,-1182.911558702692
38,-1195.651131763467
39,-1633.2571685018368
40,-985.9396015538393
41,-1117.2784505266252
42,-1226.509518669087
43,-1347.2210992796975
44,-1692.7533106201063
45,-1202.8094709193094
46,-1405.3347060968285
47,-1332.744119279695
48,-1683.0859004039462
49,-1247.6344137197848
50,-1157.6748955688697
51,-1790.413336336093
52,-1613.6554871155308
53,-1640.564490971398
54,-1248.0177498683393
55,-900.1166913895415
56,-650.110425652536
57,-1075.4253065194107
58,-1195.7259305746759
59,-3.4106495721402466
60,-915.4414013955608
61,-126.31239484072131
62,-266.1295473916817
63,-253.88867003300106
64,-131.12788279269705
65,-0.9124990144946095
66,-129.8339273891231
67,-129.49350891361422
68,-132.70209880004026
69,-128.56073090210168
70,-1.8812900518519875
71,-1.9227726624479975
72,-300.6413704660959
73,-252.90052223746406
74,-132.4005686216994
75,-130.7681570875708
76,-132.91029868954743
77,-128.399010721387
78,-342.7025486804464
79,-1.07440124162776
80,-126.83050407377868
81,-242.0316051662498
82,-139.85288090556983
83,-0.5265401397546466
84,-345.9832609549984
85,-1.866041072609925
86,-264.1316292671958
87,-126.40909716088561
88,-135.3401445529533
89,-130.54922002146927
90,-133.01368599319073
91,-271.64938202735567
92,-128.13405000782765
93,-127.88250820476208
94,-243.98857854389198
95,-245.01412631314054
96,-133.3865273787357
97,-256.95313823996463
98,-128.41328899903644
99,-133.0845328673947
100,-1.8645842071961582
101,-347.8275630079231
102,-382.0590728086417
103,-243.0547589278446
104,-124.37777762882826
105,-133.74090126841926
106,-253.05386582453733
107,-125.8849795455222
108,-136.70905656101482
109,-390.4349894450121
110,-377.1949413157071
111,-136.03636794727166
112,-6.017544145600058
113,-128.17407540746365
114,-143.15972263806913
115,-383.75367659701095
116,-131.16266396360433
117,-133.28573907889373
118,-320.1784119503048
119,-256.5404459856298
120,-128.9238332572326
121,-260.77367855870534
122,-134.3966196808782
123,-136.77476065527614
124,-2.058181709207302
125,-129.5261477967945
126,-132.041522904791
127,-134.8543283104422
128,-133.38896458286092
129,-274.58162747799065
130,-118.7505815470835
131,-128.93142442148587
132,-130.66003286597214
133,-130.98435971276467
134,-138.17802798742363
135,-1.9515828317163164
136,-121.17754218521272
137,-262.1622579879799
138,-129.9448500053989
139,-2.9803993834850706
140,-283.4734297233339
141,-130.91776366407692
142,-132.46442475325486
143,-133.46292797863768
144,-129.6065388804438
145,-376.95543802011304
146,-269.16945011824964
147,-124.91051553645872
148,-0.6289237552818102
149,-1.2977115201998621
150,-264.89868456243914
151,-134.82587499440905
152,-279.8333563645822
153,-137.3899157785334
154,-332.63441774719035
155,-1.7281605662444683
156,-125.71966260907149
157,-363.5839650766227
158,-241.6385390211077
159,-133.50542985763096
160,-7.610026266163048
161,-134.3507607044055
162,-132.4337645738627
163,-132.40430744714448
164,-130.94048977367254
165,-133.9456187787553
166,-268.13655518245105
167,-0.31627995289293004
168,-131.57212135520393
169,-244.67229286517275
170,-134.61394770536796
171,-133.40282203663477
172,-135.6967404945251
173,-129.79959712753882
174,-135.54077687596967
175,-133.71775740214173
176,-553.3098582188865
177,-272.86007115974553
178,-302.8020411102139
179,-129.41335285519807
180,-317.0337980635837
181,-135.4556741760704
182,-252.27107421181182
