ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
36.7,0,8850,-5850,9350,-5350,2021/1/14 11:32
52.2,30,8650,-6550,8850,-6350,2021/1/14 11:33
59.2,30,8650,-6550,8850,-6350,2021/1/14 11:33
63.4,30,8150,-7050,8650,-6550,2021/1/14 11:34
49.4,30,8150,-7050,8150,-7050,2021/1/14 11:35
42.3,30,8350,-6850,8150,-7050,2021/1/14 11:36
36.7,30,9350,-5350,8350,-6850,2021/1/14 11:36
28.3,30,9350,-5350,9350,-5350,2021/1/14 11:37
12.8,30,9550,-5350,9350,-5350,2021/1/14 11:39
8.6,30,9750,-5350,9550,-5350,2021/1/14 11:40
10,30,9950,-5350,9750,-5350,2021/1/14 11:41
11.4,30,10150,-5350,9950,-5350,2021/1/14 11:42
8.6,30,10350,-5350,10150,-5350,2021/1/14 11:42
10,30,10550,-5350,10350,-5350,2021/1/14 11:43
7.2,30,10750,-5350,10550,-5350,2021/1/14 11:44
3,30,10950,-5350,10750,-5350,2021/1/14 11:45
5.8,30,11150,-5350,10950,-5350,2021/1/14 11:46
43.8,30,10950,-5550,11150,-5350,2021/1/14 11:56
46.6,30,10950,-5550,11150,-5350,2021/1/14 11:56
46.6,30,10750,-5750,10950,-5550,2021/1/14 11:57
45.2,30,10750,-5750,10950,-5550,2021/1/14 11:58
48,30,10550,-5950,10750,-5750,2021/1/14 11:59
52.2,30,10350,-6150,10550,-5950,2021/1/14 12:00
55,30,10150,-6350,10350,-6150,2021/1/14 12:00
55,30,9300,-6550,9500,-6350,2021/1/14 12:01
56.4,30,8450,-6750,8650,-6550,2021/1/14 12:02
55,30,7150,-6950,7350,-6750,2021/1/14 12:04
59.2,30,9350,-5350,7150,-6950,2021/1/14 12:05
60.6,30,9350,-5350,7150,-6950,2021/1/14 12:06
59.2,30,7150,-6950,7150,-6950,2021/1/14 12:06
60.6,30,9350,-5350,7150,-6950,2021/1/14 12:07
59.2,30,9350,-5350,7150,-6950,2021/1/14 12:08
56.4,30,7150,-6950,7150,-6950,2021/1/14 12:09
57.8,30,7150,-6950,7150,-6950,2021/1/14 12:09
53.6,10,7150,-6950,7150,-6950,2021/1/14 12:10
48,10,7150,-6950,7150,-6950,2021/1/14 12:12
43.8,10,7150,-6950,7150,-6950,2021/1/14 12:13
42.3,10,7400,-6950,7400,-6950,2021/1/14 12:14
32.5,10,8200,-6750,8000,-6950,2021/1/14 12:14
36.7,10,8200,-6750,8200,-6750,2021/1/14 12:15
33.9,10,8000,-6950,8200,-6750,2021/1/14 12:16
32.5,10,7800,-7150,8000,-6950,2021/1/14 12:17
31.1,10,7800,-7150,7800,-7150,2021/1/14 12:18
29.7,10,7800,-7150,7800,-7150,2021/1/14 12:18
25.5,10,7800,-7150,7800,-7150,2021/1/14 12:20
22.7,10,8000,-6950,7800,-7150,2021/1/14 12:21
25.5,10,7800,-7150,8000,-6950,2021/1/14 12:22
25.5,10,7600,-7350,7800,-7150,2021/1/14 12:23
24.1,10,9350,-5350,7600,-7350,2021/1/14 12:23
22.7,10,9350,-5350,9350,-5350,2021/1/14 12:24
18.4,10,9350,-5350,9350,-5350,2021/1/14 12:25
19.8,10,9350,-5350,9350,-5350,2021/1/14 12:26
19.8,10,9350,-5350,9350,-5350,2021/1/14 12:27
14.2,10,9350,-5350,9350,-5350,2021/1/14 12:28
8.6,10,9350,-5350,9350,-5350,2021/1/14 12:29
8.6,10,9350,-5350,9350,-5350,2021/1/14 12:30
12.8,10,9350,-5350,9350,-5350,2021/1/14 12:31
14.2,10,9350,-5350,9350,-5350,2021/1/14 12:32
12.8,10,9350,-5350,9350,-5350,2021/1/14 12:32
8.6,10,9350,-5350,9350,-5350,2021/1/14 12:33
10,10,9350,-5350,9350,-5350,2021/1/14 12:34
7.2,10,9350,-5350,9350,-5350,2021/1/14 12:35
4.4,10,9350,-5350,9350,-5350,2021/1/14 12:37
10,10,9350,-5350,9350,-5350,2021/1/14 12:37
11.4,10,9350,-5350,9350,-5350,2021/1/14 12:38
8.6,10,9350,-5350,9350,-5350,2021/1/14 12:39
7.2,10,9350,-5350,9350,-5350,2021/1/14 12:40
5.8,90,9850,-5350,9350,-5350,2021/1/14 12:41
5.8,90,10350,-5350,9850,-5350,2021/1/14 12:41
8.6,10,9350,-5350,9850,-5350,2021/1/14 12:42
8.6,90,9850,-5350,9350,-5350,2021/1/14 12:43
8.6,90,10350,-5350,9850,-5350,2021/1/14 12:45
10,180,11350,-5350,10350,-5350,2021/1/14 12:46
25.5,10,11150,-5550,11350,-5350,2021/1/14 12:59
26.9,10,10950,-5750,11150,-5550,2021/1/14 13:01
29.7,10,10750,-5950,10950,-5750,2021/1/14 13:02
32.5,10,10550,-6150,10750,-5950,2021/1/14 13:03
32.5,10,10350,-6350,10550,-6150,2021/1/14 13:04
32.5,10,10150,-6550,10350,-6350,2021/1/14 13:04
38.1,10,9950,-6750,10150,-6550,2021/1/14 13:05
42.3,10,9450,-7250,9950,-6750,2021/1/14 13:06
40.9,10,8950,-7750,9450,-7250,2021/1/14 13:07
38.1,10,8750,-7950,8950,-7750,2021/1/14 13:08
42.3,10,11350,-5350,8750,-7950,2021/1/14 13:10
36.7,10,8750,-7950,8750,-7950,2021/1/14 13:10
35.3,10,8750,-7950,8750,-7950,2021/1/14 13:11
31.1,10,8950,-7750,8750,-7950,2021/1/14 13:12
40.9,10,8450,-8250,8950,-7750,2021/1/14 13:13
35.3,10,11350,-5350,8450,-8250,2021/1/14 13:13
38.1,10,11350,-5350,11350,-5350,2021/1/14 13:14
38.1,10,11150,-5550,11350,-5350,2021/1/14 13:15
35.3,10,10950,-5750,11150,-5550,2021/1/14 13:16
33.9,10,10950,-5750,10950,-5750,2021/1/14 13:18
35.3,10,10750,-5950,10950,-5750,2021/1/14 13:18
35.3,10,10550,-6150,10750,-5950,2021/1/14 13:19
29.7,10,10550,-6150,10550,-6150,2021/1/14 13:20
33.9,10,10350,-6350,10550,-6150,2021/1/14 13:21
33.9,10,10350,-6350,10550,-6150,2021/1/14 13:22
33.9,10,10350,-6350,10350,-6350,2021/1/14 13:22
31.1,10,10350,-6350,10350,-6350,2021/1/14 13:23
17,10,11350,-5350,10350,-6350,2021/1/14 13:24
35.3,10,10150,-6550,10350,-6350,2021/1/14 13:26
32.5,10,9950,-6750,10150,-6550,2021/1/14 13:27
31.1,10,10150,-6550,9950,-6750,2021/1/14 13:27
12.8,10,11350,-5350,10150,-6550,2021/1/14 13:28
7.2,10,11350,-5350,11200,-5350,2021/1/14 13:29
11.4,10,11350,-5350,11250,-5350,2021/1/14 13:30
7.2,10,11350,-5350,11350,-5350,2021/1/14 13:31
21.3,10,11150,-5550,11350,-5350,2021/1/14 13:31
8.6,10,11350,-5350,11150,-5550,2021/1/14 13:32
3,10,11350,-5350,11150,-5550,2021/1/14 13:34
5.8,10,11350,-5350,11300,-5550,2021/1/14 13:35
7.2,10,11350,-5350,11300,-5550,2021/1/14 13:36
0.2,10,11350,-5350,11300,-5550,2021/1/14 13:36
1.6,10,11350,-5350,11350,-5350,2021/1/14 13:37
3,10,11350,-5350,11350,-5350,2021/1/14 13:38
1.6,10,11350,-5350,11350,-5350,2021/1/14 13:39
0.2,10,11350,-5350,11350,-5350,2021/1/14 13:40
3,10,11350,-5350,11500,-5350,2021/1/14 13:40
4.4,10,11350,-5350,11500,-5350,2021/1/14 13:42
5.8,10,11350,-5350,11500,-5350,2021/1/14 13:43
0.2,10,11350,-5350,11500,-5350,2021/1/14 13:44
358.8,10,11900,-5350,11700,-5350,2021/1/14 13:45
0.2,10,11350,-5350,11900,-5350,2021/1/14 13:45
7.2,10,11350,-5350,11650,-5350,2021/1/14 13:46
5.8,10,11350,-5350,11550,-5350,2021/1/14 13:47
1.6,10,11350,-5350,11550,-5350,2021/1/14 13:48
353.1,10,11800,-5350,11600,-5350,2021/1/14 13:49
7.2,10,11350,-5350,11800,-5350,2021/1/14 13:51
5.8,10,11350,-5350,11800,-5350,2021/1/14 13:51
19.8,10,11600,-5550,11800,-5350,2021/1/14 13:52
5.8,10,11350,-5350,11600,-5550,2021/1/14 13:53
8.6,10,11350,-5350,11600,-5550,2021/1/14 13:54
4.4,10,11350,-5350,11600,-5550,2021/1/14 13:54
7.2,15,11350,-5350,11600,-5550,2021/1/14 13:55
8.6,15,11350,-5350,11600,-5550,2021/1/14 13:56
8.6,15,11350,-5350,11600,-5550,2021/1/14 13:57
358.8,15,11800,-5550,11600,-5550,2021/1/14 13:59
7.2,15,11350,-5350,11700,-5550,2021/1/14 13:59
4.4,15,11700,-5550,11700,-5550,2021/1/14 14:00
1.6,15,11900,-5550,11700,-5550,2021/1/14 14:01
5.8,17,12000,-5550,11800,-5550,2021/1/14 14:02
1.6,15,12000,-5550,11800,-5550,2021/1/14 14:03
357.3,15,12100,-5550,11900,-5550,2021/1/14 14:03
1.6,15,12200,-5550,12000,-5550,2021/1/14 14:04
1.6,15,12200,-5550,12000,-5550,2021/1/14 14:05
7.2,15,11350,-5350,12000,-5550,2021/1/14 14:07
10,15,11350,-5350,12000,-5550,2021/1/14 14:08
19.8,15,11350,-5350,11350,-5350,2021/1/14 14:09
10,15,11350,-5350,11350,-5350,2021/1/14 14:09
8.6,15,11350,-5350,11350,-5350,2021/1/14 14:10
12.8,15,11350,-5350,11350,-5350,2021/1/14 14:11
10,15,11350,-5350,11350,-5350,2021/1/14 14:12
12.8,15,11350,-5350,11350,-5350,2021/1/14 14:12
15.6,15,11350,-5350,11350,-5350,2021/1/14 14:13
12.8,15,11350,-5350,11350,-5350,2021/1/14 14:15
17,15,11350,-5350,11350,-5350,2021/1/14 14:16
10,15,11350,-5350,11350,-5350,2021/1/14 14:17
17,15,11350,-5350,11350,-5350,2021/1/14 14:18
14.2,15,11350,-5350,11350,-5350,2021/1/14 14:18
15.6,15,11350,-5350,11350,-5350,2021/1/14 14:19
24.1,15,11350,-5350,11000,-5350,2021/1/14 14:26
21.3,10,11150,-5550,11350,-5350,2021/1/14 14:26
21.3,10,9800,-5750,10000,-5550,2021/1/14 14:27
22.7,10,9600,-5950,9800,-5750,2021/1/14 14:28
19.8,10,11350,-5350,9600,-5950,2021/1/14 14:29
19.8,10,11350,-5350,9600,-5950,2021/1/14 14:30
18.4,10,11350,-5350,9600,-5950,2021/1/14 14:31
19.8,10,11350,-5350,9600,-5950,2021/1/14 14:32
22.7,10,9400,-6150,9600,-5950,2021/1/14 14:33
25.5,10,9200,-6350,9400,-6150,2021/1/14 14:34
17,10,11350,-5350,9400,-6150,2021/1/14 14:35
25.5,10,9200,-6350,9400,-6150,2021/1/14 14:35
17,10,11350,-5350,9200,-6350,2021/1/14 14:36
22.7,10,9000,-5350,9000,-5350,2021/1/14 14:37
21.3,10,8800,-5550,9000,-5350,2021/1/14 14:38
15.6,10,11350,-5350,8800,-5550,2021/1/14 14:40
40.9,10,8300,-6050,8800,-5550,2021/1/14 14:41
