Algorithm output TorP,Algorithm output TorN,Engineer set TorP,Engineer set TorN
6450,-5800,6450,-5800
6950,-5800,7450,-5300
6450,-6300,6950,-5800
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6450,-5800,6450,-6300
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6450,-6300,6450,-6300
6950,-5800,6450,-6300
7450,-5300,6950,-5800
7950,-4800,7450,-5300
7450,-5300,7450,-5300
6950,-5800,7450,-5300
6950,-5800,6950,-5800
7150,-5600,6950,-5800
8000,-5400,7800,-5600
7000,-5900,8000,-5400
7800,-5600,8000,-5400
7800,-5600,7800,-5600
7800,-5600,7800,-5600
8000,-5400,7800,-5600
8000,-5400,7800,-5600
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
8000,-5400,8000,-5400
9000,-5400,8800,-5400
9200,-5200,9000,-5200
9400,-5200,9200,-5200
9600,-5200,9400,-5200
10000,-5200,9800,-5200
10200,-5200,10000,-5200
10650,-5200,10450,-5200
10850,-5200,10650,-5200
11300,-5200,11100,-5200
11500,-5200,11300,-5200
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
11500,-5000,11500,-5000
