ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
1,36.7,29.7,21.3,11.4,8.6,0,8850,-5850,9350,-5350,2021/1/14 11:32
2,52.2,36.7,29.7,21.3,11.4,30,8650,-6550,8850,-6350,2021/1/14 11:33
3,59.2,52.2,36.7,29.7,21.3,30,8650,-6550,8850,-6350,2021/1/14 11:33
4,63.4,59.2,52.2,36.7,29.7,30,8150,-7050,8650,-6550,2021/1/14 11:34
5,49.4,63.4,59.2,52.2,36.7,30,8150,-7050,8150,-7050,2021/1/14 11:35
6,42.3,49.4,63.4,59.2,52.2,30,8350,-6850,8150,-7050,2021/1/14 11:36
7,36.7,42.3,49.4,63.4,59.2,30,9350,-5350,8350,-6850,2021/1/14 11:36
8,28.3,36.7,42.3,49.4,63.4,30,9350,-5350,9350,-5350,2021/1/14 11:37
9,12.8,28.3,36.7,42.3,49.4,30,9550,-5350,9350,-5350,2021/1/14 11:39
10,8.6,12.8,28.3,36.7,42.3,30,9750,-5350,9550,-5350,2021/1/14 11:40
11,10,8.6,12.8,28.3,36.7,30,9950,-5350,9750,-5350,2021/1/14 11:41
12,11.4,10,8.6,12.8,28.3,30,10150,-5350,9950,-5350,2021/1/14 11:42
13,8.6,11.4,10,8.6,12.8,30,10350,-5350,10150,-5350,2021/1/14 11:42
14,10,8.6,11.4,10,8.6,30,10550,-5350,10350,-5350,2021/1/14 11:43
15,7.2,10,8.6,11.4,10,30,10750,-5350,10550,-5350,2021/1/14 11:44
16,3,7.2,10,8.6,11.4,30,10950,-5350,10750,-5350,2021/1/14 11:45
17,5.8,3,7.2,10,8.6,30,11150,-5350,10950,-5350,2021/1/14 11:46
18,43.8,5.8,3,7.2,10,30,10950,-5550,11150,-5350,2021/1/14 11:56
19,46.6,43.8,5.8,3,7.2,30,10950,-5550,11150,-5350,2021/1/14 11:56
20,46.6,46.6,43.8,5.8,3,30,10750,-5750,10950,-5550,2021/1/14 11:57
21,45.2,46.6,46.6,43.8,5.8,30,10750,-5750,10950,-5550,2021/1/14 11:58
22,48,45.2,46.6,46.6,43.8,30,10550,-5950,10750,-5750,2021/1/14 11:59
23,52.2,48,45.2,46.6,46.6,30,10350,-6150,10550,-5950,2021/1/14 12:00
24,55,52.2,48,45.2,46.6,30,10150,-6350,10350,-6150,2021/1/14 12:00
25,55,55,52.2,48,45.2,30,9300,-6550,9500,-6350,2021/1/14 12:01
26,56.4,55,55,52.2,48,30,8450,-6750,8650,-6550,2021/1/14 12:02
27,55,56.4,55,55,52.2,30,7150,-6950,7350,-6750,2021/1/14 12:04
28,59.2,55,56.4,55,55,30,9350,-5350,7150,-6950,2021/1/14 12:05
29,60.6,59.2,55,56.4,55,30,9350,-5350,7150,-6950,2021/1/14 12:06
30,59.2,60.6,59.2,55,56.4,30,7150,-6950,7150,-6950,2021/1/14 12:06
31,60.6,59.2,60.6,59.2,55,30,9350,-5350,7150,-6950,2021/1/14 12:07
32,59.2,60.6,59.2,60.6,59.2,30,9350,-5350,7150,-6950,2021/1/14 12:08
33,56.4,59.2,60.6,59.2,60.6,30,7150,-6950,7150,-6950,2021/1/14 12:09
34,57.8,56.4,59.2,60.6,59.2,30,7150,-6950,7150,-6950,2021/1/14 12:09
35,53.6,57.8,56.4,59.2,60.6,10,7150,-6950,7150,-6950,2021/1/14 12:10
36,48,53.6,57.8,56.4,59.2,10,7150,-6950,7150,-6950,2021/1/14 12:12
37,43.8,48,53.6,57.8,56.4,10,7150,-6950,7150,-6950,2021/1/14 12:13
38,42.3,43.8,48,53.6,57.8,10,7400,-6950,7400,-6950,2021/1/14 12:14
39,32.5,42.3,43.8,48,53.6,10,8200,-6750,8000,-6950,2021/1/14 12:14
40,36.7,32.5,42.3,43.8,48,10,8200,-6750,8200,-6750,2021/1/14 12:15
41,33.9,36.7,32.5,42.3,43.8,10,8000,-6950,8200,-6750,2021/1/14 12:16
42,32.5,33.9,36.7,32.5,42.3,10,7800,-7150,8000,-6950,2021/1/14 12:17
43,31.1,32.5,33.9,36.7,32.5,10,7800,-7150,7800,-7150,2021/1/14 12:18
44,29.7,31.1,32.5,33.9,36.7,10,7800,-7150,7800,-7150,2021/1/14 12:18
45,25.5,29.7,31.1,32.5,33.9,10,7800,-7150,7800,-7150,2021/1/14 12:20
46,22.7,25.5,29.7,31.1,32.5,10,8000,-6950,7800,-7150,2021/1/14 12:21
47,25.5,22.7,25.5,29.7,31.1,10,7800,-7150,8000,-6950,2021/1/14 12:22
48,25.5,25.5,22.7,25.5,29.7,10,7600,-7350,7800,-7150,2021/1/14 12:23
49,24.1,25.5,25.5,22.7,25.5,10,9350,-5350,7600,-7350,2021/1/14 12:23
50,22.7,24.1,25.5,25.5,22.7,10,9350,-5350,9350,-5350,2021/1/14 12:24
51,18.4,22.7,24.1,25.5,25.5,10,9350,-5350,9350,-5350,2021/1/14 12:25
52,19.8,18.4,22.7,24.1,25.5,10,9350,-5350,9350,-5350,2021/1/14 12:26
53,19.8,19.8,18.4,22.7,24.1,10,9350,-5350,9350,-5350,2021/1/14 12:27
54,14.2,19.8,19.8,18.4,22.7,10,9350,-5350,9350,-5350,2021/1/14 12:28
55,8.6,14.2,19.8,19.8,18.4,10,9350,-5350,9350,-5350,2021/1/14 12:29
56,8.6,8.6,14.2,19.8,19.8,10,9350,-5350,9350,-5350,2021/1/14 12:30
57,12.8,8.6,8.6,14.2,19.8,10,9350,-5350,9350,-5350,2021/1/14 12:31
58,14.2,12.8,8.6,8.6,14.2,10,9350,-5350,9350,-5350,2021/1/14 12:32
59,12.8,14.2,12.8,8.6,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:32
60,8.6,12.8,14.2,12.8,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:33
61,10,8.6,12.8,14.2,12.8,10,9350,-5350,9350,-5350,2021/1/14 12:34
62,7.2,10,8.6,12.8,14.2,10,9350,-5350,9350,-5350,2021/1/14 12:35
63,4.4,7.2,10,8.6,12.8,10,9350,-5350,9350,-5350,2021/1/14 12:37
64,10,4.4,7.2,10,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:37
65,11.4,10,4.4,7.2,10,10,9350,-5350,9350,-5350,2021/1/14 12:38
66,8.6,11.4,10,4.4,7.2,10,9350,-5350,9350,-5350,2021/1/14 12:39
67,7.2,8.6,11.4,10,4.4,10,9350,-5350,9350,-5350,2021/1/14 12:40
68,5.8,7.2,8.6,11.4,10,90,9850,-5350,9350,-5350,2021/1/14 12:41
69,5.8,5.8,7.2,8.6,11.4,90,10350,-5350,9850,-5350,2021/1/14 12:41
70,8.6,5.8,5.8,7.2,8.6,10,9350,-5350,9850,-5350,2021/1/14 12:42
71,8.6,8.6,5.8,5.8,7.2,90,9850,-5350,9350,-5350,2021/1/14 12:43
72,8.6,8.6,8.6,5.8,5.8,90,10350,-5350,9850,-5350,2021/1/14 12:45
73,10,8.6,8.6,8.6,5.8,180,11350,-5350,10350,-5350,2021/1/14 12:46
74,25.5,22.7,21.3,14.2,15.6,10,11150,-5550,11350,-5350,2021/1/14 12:59
75,26.9,25.5,22.7,21.3,14.2,10,10950,-5750,11150,-5550,2021/1/14 13:01
76,29.7,26.9,25.5,22.7,21.3,10,10750,-5950,10950,-5750,2021/1/14 13:02
77,32.5,29.7,26.9,25.5,22.7,10,10550,-6150,10750,-5950,2021/1/14 13:03
78,32.5,32.5,29.7,26.9,25.5,10,10350,-6350,10550,-6150,2021/1/14 13:04
79,32.5,32.5,32.5,29.7,26.9,10,10150,-6550,10350,-6350,2021/1/14 13:04
80,38.1,32.5,32.5,32.5,29.7,10,9950,-6750,10150,-6550,2021/1/14 13:05
81,42.3,38.1,32.5,32.5,32.5,10,9450,-7250,9950,-6750,2021/1/14 13:06
82,40.9,42.3,38.1,32.5,32.5,10,8950,-7750,9450,-7250,2021/1/14 13:07
83,38.1,40.9,42.3,38.1,32.5,10,8750,-7950,8950,-7750,2021/1/14 13:08
84,42.3,38.1,40.9,42.3,38.1,10,11350,-5350,8750,-7950,2021/1/14 13:10
85,36.7,42.3,38.1,40.9,42.3,10,8750,-7950,8750,-7950,2021/1/14 13:10
86,35.3,36.7,42.3,38.1,40.9,10,8750,-7950,8750,-7950,2021/1/14 13:11
87,31.1,35.3,36.7,42.3,38.1,10,8950,-7750,8750,-7950,2021/1/14 13:12
88,40.9,31.1,35.3,36.7,42.3,10,8450,-8250,8950,-7750,2021/1/14 13:13
89,35.3,40.9,31.1,35.3,36.7,10,11350,-5350,8450,-8250,2021/1/14 13:13
90,38.1,35.3,40.9,31.1,35.3,10,11350,-5350,11350,-5350,2021/1/14 13:14
91,38.1,38.1,35.3,40.9,31.1,10,11150,-5550,11350,-5350,2021/1/14 13:15
92,35.3,38.1,38.1,35.3,40.9,10,10950,-5750,11150,-5550,2021/1/14 13:16
93,33.9,35.3,38.1,38.1,35.3,10,10950,-5750,10950,-5750,2021/1/14 13:18
94,35.3,33.9,35.3,38.1,38.1,10,10750,-5950,10950,-5750,2021/1/14 13:18
95,35.3,35.3,33.9,35.3,38.1,10,10550,-6150,10750,-5950,2021/1/14 13:19
96,29.7,35.3,35.3,33.9,35.3,10,10550,-6150,10550,-6150,2021/1/14 13:20
97,33.9,29.7,35.3,35.3,33.9,10,10350,-6350,10550,-6150,2021/1/14 13:21
98,33.9,33.9,29.7,35.3,35.3,10,10350,-6350,10550,-6150,2021/1/14 13:22
99,33.9,33.9,33.9,29.7,35.3,10,10350,-6350,10350,-6350,2021/1/14 13:22
100,31.1,33.9,33.9,33.9,29.7,10,10350,-6350,10350,-6350,2021/1/14 13:23
