,0
0,-1260.5127648712805
1,-1266.608971354651
2,-1300.8594578731909
3,-1332.6278007616938
4,-1342.5527119405504
5,-1355.2671999964555
6,-1324.617359866448
7,-1301.8100816711758
8,-1260.8115150907024
9,-1277.0464960164336
10,-1272.5760149752082
11,-1282.2365095865405
12,-1283.7820894781976
13,-1284.9362578472806
14,-1308.1902069747507
15,-1326.2743308516865
16,-1336.277300455088
17,-1352.9681229909638
18,-1373.8290674411367
19,-1310.208475198462
20,-1243.2514297518574
21,-1166.5065043658901
22,-1125.382253403618
23,-1088.5868775994827
24,-1041.9733427151655
25,-1022.1653325628812
26,-974.4637732542254
27,-926.0276669926901
28,-884.4653338036318
29,-860.4722627177981
30,-849.1979617513915
31,-826.3560413040105
32,-768.966812592642
33,-717.2634681769457
34,-682.7175721852263
35,-663.7584550046772
36,-660.540322468625
37,-643.9334214624198
38,-616.8550179062096
39,-616.6240533665404
40,-592.4688303718224
41,-581.5441895974103
42,-560.7871309322684
43,-579.0323933946178
44,-546.0619760581762
45,-544.3176300281777
46,-539.7281744156552
47,-532.9948279740904
48,-504.62384754376944
49,-504.174815330206
50,-502.56753634532043
51,-477.9630451470339
52,-478.89320035222306
53,-455.22884114900785
54,-485.7497729415044
55,-473.47618868151903
56,-462.1362660171626
57,-440.46395211331156
58,-438.85091154027793
59,-419.73025197426807
60,-436.79971368757185
61,-453.47088184107963
62,-450.05652488803855
63,-453.45521797162087
64,-444.84923685681497
65,-436.9775844281287
66,-431.02016286987424
67,-448.7529811172761
68,-463.45705632529064
69,-478.9206040239288
70,-467.63504627215224
71,-454.2719076604647
72,-445.5070164353266
73,-425.2273368139328
74,-407.5969111748611
75,-392.08810020487954
76,-392.72903429539036
77,-378.0533811241129
78,-375.0620491910685
79,-372.9426902214764
80,-379.36997591187674
81,-391.3145530809153
82,-401.5945720459755
83,-416.8838477501818
84,-399.1747319659283
85,-382.45527610530206
86,-381.545349316512
87,-367.70880242455064
88,-355.7613582716365
89,-332.28080498394706
90,-373.4299828775221
91,-373.6609355883289
92,-349.2890412113245
93,-330.74593310351867
94,-322.559766743898
95,-339.8202482841498
96,-318.29039813086683
97,-311.1740274806793
98,-305.1777201897005
99,-346.57410751571837
100,-347.3307814237612
101,-353.21740199761336
102,-360.0413346316066
103,-336.7741190211235
104,-327.1498911634978
105,-307.1101648660291
106,-309.08943666980144
107,-303.0970393807803
108,-308.85321162188666
109,-302.6123390592571
110,-284.6554820115375
111,-292.8951607505849
