           tf                                                                                                        ,TARGET
-0.411088786,0
-0.251694125,0
-0.099796332,0
0.049109082,0
0.199488426,0
0.355827081,0
0.52268225,0
0.70471647,0
0.906693119,0
1.133407772,0
1.389518334,0
1.679221981,0
2.00571061,0
2.370332488,0
2.771383964,0
3.20252742,0
3.650963643,0
4.095751655,0
4.507027106,0
4.847165972,0
5.076998717,0
5.503000364,0
5.923338004,0
6.112689503,0
6.092394717,0
5.877538251,0
5.50016738,0
5.011941429,0
4.469816303,0
3.883883687,0
3.296518999,0
2.741971849,0
2.235024953,0
1.791311061,0
1.512067399,0
1.319934594,0
1.172001521,0
1.049358172,0
0.950301973,0
0.868162157,0
0.792766281,0
0.716385012,0
0.636795886,0
0.555475545,0
0.496200616,0
0.45320769,0
0.415859863,0
0.380308366,0
0.346468564,0
0.314657186,0
0.28591857,0
0.261078844,0
0.239796708,0
0.220151697,0
0.203417377,0
0.187711015,0
0.164785302,0
0.12839373,0
0.102618864,0
0.085531354,0
0.073247601,0
0.065600829,0
0.059194731,0
0.053816239,0
0.051173594,0
0.049925232,0
0.049643096,0
0.048942254,0
0.048196977,0
0.047154757,0
0.045330655,0
0.042889792,0
0.039169997,0
0.035043709,0
0.031857025,0
0.02869614,0
0.026716612,0
0.025303505,0
0.024673792,0
0.024156627,0
0.022357259,0
0.019544914,0
0.016415311,0
0.012593369,0
0.008432084,0
0.004134849,0
0.000551795,0
-0.00318207,0
-0.006164404,0
-0.006437821,0
-0.005421188,0
-0.004553613,0
-0.003975456,0
-0.003920169,0
-0.004268637,0
-0.005250548,0
-0.009652771,0
-0.012354114,0
-0.015141573,0
-0.017579872,0
-0.01955418,0
-0.020404619,0
-0.020112687,0
-0.018921817,0
-0.017814943,0
-0.014677551,0
-0.011143991,0
-0.008307511,0
-0.005639345,0
-0.005391698,0
-0.004081029,0
-0.002933221,0
-0.001385453,0
-0.000326505,0
0.002311996,0
0.005748292,0
0.008485476,0
0.010772238,0
0.013332847,0
0.015280091,0
0.01682707,0
0.017990511,0
0.020019194,0
0.020943034,0
0.021113828,0
0.023191162,0
0.02621353,0
0.029714166,0
0.032925123,0
0.034902448,0
0.035471751,0
0.035220553,0
0.034854378,0
0.0338606,0
0.032854178,0
0.031040322,0
0.029315727,0
0.028185262,0
0.027013488,0
0.025699135,0
0.024934492,0
0.023325729,0
0.022995541,0
0.02251346,0
0.021840189,0
0.020574403,0
0.020769411,0
0.022420182,0
0.023555478,0
0.02743009,0
0.031611692,0
0.034629434,0
0.03609057,0
0.037855888,0
0.039084359,0
0.03910366,0
0.040407999,0
0.042333452,0
0.043762909,0
0.044069088,0
0.043395744,0
0.041129325,0
0.036447132,0
0.031681453,0
0.026692448,0
0.020866483,0
0.014594205,0
0.008800913,0
0.004211359,0
0.000275933,0
-0.00529673,0
-0.012008648,0
-0.019028016,0
-0.024841208,0
-0.029319497,0
-0.03222275,0
-0.034613035,0
-0.035192398,0
-0.033287223,0
-0.03083842,0
-0.026368237,0
-0.024088967,0
-0.022940308,0
-0.021259586,0
-0.019426028,0
-0.017144684,0
-0.014530827,0
-0.011412322,0
-0.00914908,0
-0.009364311,0
-0.009439683,0
-0.009188418,0
-0.008868876,0
-0.007595657,0
-0.007539372,0
-0.006663453,0
-0.00534777,0
-0.00223351,0
0.000987231,0
0.004486524,0
