ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
161.9,210,11000,-3500,11000,-3500,2021/1/10 15:54
191.4,210,11000,-3500,11000,-3500,2021/1/10 15:55
275.8,210,10000,-3500,10000,-3500,2021/1/10 15:56
333.4,210,9000,-4000,9000,-4000,2021/1/10 15:56
4.4,210,8000,-5500,9000,-5000,2021/1/10 15:57
17,210,7000,-6000,8000,-5500,2021/1/10 15:58
18.4,210,10000,-5000,11000,-4500,2021/1/10 15:59
19.8,210,11000,-4000,11000,-4000,2021/1/10 15:59
12.8,210,12000,-4000,12000,-4000,2021/1/10 16:00
88.8,210,8000,-4000,9000,-4000,2021/1/10 16:02
159.1,210,10000,-5500,10000,-5500,2021/1/10 16:05
146.4,210,10000,-5000,10000,-5000,2021/1/10 16:06
145,210,11000,-4500,11000,-4500,2021/1/10 16:07
142.2,210,11000,-4500,11000,-4500,2021/1/10 16:08
140.8,210,11500,-4500,11000,-4500,2021/1/10 16:08
156.3,210,11000,-4500,12000,-4000,2021/1/10 16:10
198.4,210,11800,-4200,12000,-4000,2021/1/10 16:11
244.8,210,10000,-5000,10500,-4500,2021/1/10 16:12
284.2,210,8000,-5000,8500,-4500,2021/1/10 16:13
306.7,210,6500,-5500,7000,-5000,2021/1/10 16:13
320.8,210,11000,-4500,6500,-5500,2021/1/10 16:14
325,210,11000,-4500,6500,-6000,2021/1/10 16:15
325,210,11000,-4500,6500,-6000,2021/1/10 16:16
315.2,210,11000,-4500,7000,-6000,2021/1/10 16:17
292.7,210,7500,-5500,7000,-6000,2021/1/10 16:19
284.2,210,7500,-5500,7000,-6000,2021/1/10 16:19
278.6,210,7500,-5500,7000,-6000,2021/1/10 16:20
275.8,210,7000,-6000,7000,-6000,2021/1/10 16:21
270.2,210,7000,-6000,7000,-6000,2021/1/10 16:22
258.9,210,7000,-6500,7000,-6500,2021/1/10 16:22
249.1,210,7500,-6000,7000,-6500,2021/1/10 16:23
243.4,210,7200,-5800,7000,-6000,2021/1/10 16:24
236.4,210,7200,-5800,7000,-6000,2021/1/10 16:25
222.3,210,11000,-4500,7500,-6000,2021/1/10 16:27
218.1,210,11000,-4500,7500,-5000,2021/1/10 16:28
211.1,210,11000,-4500,7500,-5000,2021/1/10 16:28
206.9,210,11000,-4500,7500,-5000,2021/1/10 16:29
205.5,210,11000,-4500,8000,-5000,2021/1/10 16:30
202.7,210,11000,-4500,8000,-5000,2021/1/10 16:31
202.7,210,11000,-4500,8000,-5000,2021/1/10 16:31
188.6,210,10050,-5000,10050,-5000,2021/1/10 16:37
195.6,210,10050,-5000,10050,-5000,2021/1/10 16:39
202.7,210,10050,-5000,10050,-5000,2021/1/10 16:40
206.9,210,10050,-5000,10050,-5000,2021/1/10 16:40
212.5,210,10050,-5000,10050,-5000,2021/1/10 16:41
222.3,210,10050,-5000,9350,-5000,2021/1/10 16:43
223.8,210,9150,-5200,9350,-5000,2021/1/10 16:44
223.8,210,8950,-5400,9150,-5200,2021/1/10 16:45
223.8,210,8750,-5600,8950,-5400,2021/1/10 16:45
225.2,210,8550,-5800,8750,-5600,2021/1/10 16:46
222.3,210,8350,-6000,8550,-5800,2021/1/10 16:47
220.9,210,10050,-5000,8350,-6000,2021/1/10 16:48
216.7,210,10050,-5000,9500,-5000,2021/1/10 16:49
209.7,210,10050,-5000,9500,-5000,2021/1/10 16:49
206.9,210,10050,-5000,9500,-5000,2021/1/10 16:51
209.7,210,10050,-5000,10050,-5000,2021/1/10 16:52
208.3,210,10050,-5000,10050,-5000,2021/1/10 16:53
208.3,210,10050,-5000,10050,-5000,2021/1/10 16:54
211.1,210,10050,-5000,10050,-5000,2021/1/10 16:54
212.5,210,10050,-5000,10050,-5000,2021/1/10 16:55
211.1,210,10050,-5000,10050,-5000,2021/1/10 16:56
211.1,210,10050,-5000,10050,-5000,2021/1/10 16:57
212.5,210,10050,-5000,10050,-5000,2021/1/10 16:58
211.1,210,10050,-5000,10050,-5000,2021/1/10 17:00
212.5,210,10050,-5000,10050,-5000,2021/1/10 17:00
213.9,210,10050,-5000,10050,-5000,2021/1/10 17:01
215.3,210,10050,-5000,10050,-5000,2021/1/10 17:02
216.7,210,10050,-5000,10050,-5000,2021/1/10 17:03
219.5,210,10050,-5000,10050,-5000,2021/1/10 17:04
222.3,210,10050,-5000,10050,-5000,2021/1/10 17:04
223.8,210,9850,-5200,10050,-5000,2021/1/10 17:05
223.8,210,9650,-5400,9850,-5200,2021/1/10 17:06
228,210,9450,-5600,9650,-5400,2021/1/10 17:08
228,210,9450,-5600,9650,-5400,2021/1/10 17:09
223.8,210,9450,-5600,9650,-5400,2021/1/10 17:09
222.3,210,9250,-5800,9450,-5600,2021/1/10 17:11
219.5,210,10050,-5000,9250,-5800,2021/1/10 17:12
218.1,210,10050,-5000,10050,-5000,2021/1/10 17:12
216.7,210,10050,-5000,10050,-5000,2021/1/10 17:13
218.1,210,10050,-5000,10050,-5000,2021/1/10 17:14
220.9,210,10050,-5000,10050,-5000,2021/1/10 17:16
223.8,210,9850,-5200,10050,-5000,2021/1/10 17:17
225.2,210,9650,-5400,9850,-5200,2021/1/10 17:18
228,210,9450,-5600,9650,-5400,2021/1/10 17:18
228,210,9250,-5800,9450,-5600,2021/1/10 17:19
225.2,210,9050,-6000,9250,-5800,2021/1/10 17:20
222.3,210,8850,-6200,9050,-6000,2021/1/10 17:21
216.7,210,10050,-5000,8850,-6200,2021/1/10 17:21
212.5,210,10050,-5000,8850,-6200,2021/1/10 17:22
206.9,210,10050,-5000,10050,-5000,2021/1/10 17:24
204.1,210,10050,-5000,10050,-5000,2021/1/10 17:25
209.7,210,10050,-5000,10050,-5000,2021/1/10 17:26
212.5,210,10050,-5000,10050,-5000,2021/1/10 17:27
213.9,210,10050,-5000,10050,-5000,2021/1/10 17:27
216.7,210,10050,-5000,10050,-5000,2021/1/10 17:28
219.5,210,10050,-5000,10050,-5000,2021/1/10 17:29
222.3,210,9850,-5200,10050,-5000,2021/1/10 17:30
222.3,210,9650,-5400,9850,-5200,2021/1/10 17:30
219.5,210,9450,-5600,9650,-5400,2021/1/10 17:32
219.5,210,10050,-5000,9450,-5600,2021/1/10 17:33
219.5,210,9850,-5200,10050,-5000,2021/1/10 17:34
220.9,210,9650,-5400,9850,-5200,2021/1/10 17:35
220.9,210,9650,-5400,9850,-5200,2021/1/10 17:35
219.5,210,9450,-5600,9650,-5400,2021/1/10 17:36
219.5,210,9250,-5800,9450,-5600,2021/1/10 17:37
216.7,210,10050,-5000,9250,-5800,2021/1/10 17:38
215.3,210,10050,-5000,10050,-5000,2021/1/10 17:39
218.1,210,10050,-5000,10050,-5000,2021/1/10 17:41
220.9,210,9850,-5200,10050,-5000,2021/1/10 17:41
226.6,210,9650,-5400,9850,-5200,2021/1/10 17:42
226.6,210,9450,-5600,9650,-5400,2021/1/10 17:43
226.6,210,9250,-5800,9450,-5600,2021/1/10 17:44
228,210,9050,-6000,9250,-5800,2021/1/10 17:44
225.2,210,8850,-6200,9050,-6000,2021/1/10 17:45
222.3,210,8650,-6400,8850,-6200,2021/1/10 17:46
216.7,210,10050,-5000,8650,-6400,2021/1/10 17:47
204.1,210,10050,-5000,10050,-5000,2021/1/10 17:49
202.7,210,10050,-5000,10050,-5000,2021/1/10 17:50
204.1,210,10050,-5000,10050,-5000,2021/1/10 17:50
