,0
0,-1302.0255754489222
1,-1318.5994359891924
2,-1336.142098295506
3,-1387.8944477297105
4,-1409.0384361353372
5,-1444.9828445549715
6,-1454.0893759698047
7,-1432.883988159492
8,-1406.2729831587972
9,-1378.13623710898
10,-1358.734327846699
11,-1338.0551690902143
12,-1324.205612005618
13,-1305.16474415406
14,-1293.0399868732898
15,-1294.118381760425
16,-1288.7312096294754
17,-1282.0088184888427
18,-1286.3619028581859
19,-1275.342609904832
20,-1257.357724596045
21,-1251.710963867776
22,-1235.2131831071003
23,-1213.9307274392822
24,-1211.2432824117482
25,-1208.0579344006126
26,-1189.6120378396677
27,-1175.0373623348662
28,-1171.4837436561374
29,-1158.2780744440884
30,-1133.480893047944
31,-1106.8877163022498
32,-1085.0130393914055
33,-1053.1169430806603
34,-1049.359509543147
35,-1019.4716128887576
36,-993.0437551574926
37,-984.2966161526538
38,-972.2236696891536
39,-964.0275405675309
40,-944.622835561676
41,-948.5007539131868
42,-938.8868731040801
43,-932.7247296406995
44,-919.0094583079092
45,-915.645239574895
46,-888.9760581258117
47,-991.6599221618113
48,-969.3580385523979
49,-970.6850991343348
50,-949.8111009249762
51,-926.304105402402
52,-920.7812108808499
53,-925.9861086695424
54,-922.0664975862437
55,-917.6498514495204
56,-911.394498697089
57,-921.4482579137091
58,-905.6224783446874
59,-902.979230605314
60,-888.8260854029727
61,-875.8412068623808
62,-973.8130297447906
63,-976.1465974919465
64,-966.7587873842792
65,-958.3979042879531
66,-950.234202298784
67,-941.9784342097628
68,-935.742756575046
69,-939.6021233114234
70,-934.1675458067249
71,-941.360659580849
72,-934.3170439827242
73,-930.6754740072703
74,-914.8002066999494
75,-910.6025108417058
76,-910.0082193261981
77,-906.1021715205366
78,-1001.760841793722
79,-988.1934186104984
80,-996.5446643394151
81,-985.5580239509411
82,-974.3390675163429
83,-1060.6229751362098
84,-1039.3739143911598
85,-1023.5310445783256
86,-1006.9753766849501
87,-994.627112560501
88,-983.5071903362805
89,-961.0352850275103
90,-952.7621369505542
91,-939.9566480729376
92,-934.5437093531035
93,-925.7436566567807
94,-917.3359613214778
95,-911.8608312202251
96,-908.8147298211514
97,-906.9374553069091
98,-904.6180024304896
99,-997.1120323468153
100,-984.7196468946878
101,-973.3257516716108
102,-1040.1942283092217
103,-1000.6700787732418
104,-987.7960099135023
105,-964.9311134342797
106,-957.8083976269514
107,-940.3942084701143
108,-932.454792143635
109,-914.5054544999758
110,-899.1601140031146
111,-884.165689822156
112,-879.8009048654201
113,-867.452531466222
114,-845.2959280457978
115,-856.3946681771808
116,-855.6300777007751
117,-854.3742482545204
118,-832.2158257606206
119,-823.0029233342528
120,-815.0329634883333
121,-808.4845207250778
122,-812.916154882859
123,-797.6491400855855
124,-780.4747863119339
125,-771.5718818197624
126,-769.3864157713656
127,-767.0021240626331
128,-752.4012619015054
129,-752.7730018260803
130,-740.1614330243395
131,-735.4961376165901
132,-724.3887479597299
133,-715.2653930847155
134,-728.395500574847
135,-718.7037659140373
136,-722.3636863586534
137,-721.7451851805629
138,-723.9170542160992
139,-724.6215567911046
140,-714.8076023732922
141,-716.4278126593
142,-694.7780932655853
143,-675.5520206183792
144,-671.7464453852566
145,-677.4528848122139
146,-690.1138896396443
147,-684.0149466741107
148,-688.3481277031971
149,-669.7047820069665
150,-664.4184094386005
151,-667.6064185298968
152,-662.5684497164583
153,-646.809791369975
154,-661.5291470904107
155,-645.389079220508
156,-639.414201827902
157,-649.0079087763197
158,-636.3651903861348
159,-643.7488561856283
160,-628.9749713328813
161,-618.4459204463758
162,-606.5402303935808
163,-583.9391101649712
164,-572.9732662102269
165,-555.3063719293468
166,-561.4222507780412
167,-554.3947728046921
168,-547.7862593659772
169,-530.991993250677
170,-527.1194221314456
171,-535.0284366613188
172,-519.6024827249694
173,-505.3877195324261
174,-492.69404752734164
175,-468.679524100287
176,-460.09620893236803
177,-438.98858008141485
178,-408.15291761772306
179,-392.20818294088775
180,-378.22793478942657
181,-364.81570092741634
182,-340.9393992131328
183,-319.3923179547996
184,-321.87541604378043
185,-302.3905397848738
186,-284.36807007239446
187,-268.4746386393107
188,-254.07299729825843
189,-252.69937023557043
190,-250.5237253413206
191,-264.21640257140297
192,-262.4268359854836
193,-236.5049439851552
194,-249.58017833958738
195,-248.79957882316734
196,-235.95437151581305
197,-212.47189195787894
198,-202.97674064529562
199,-206.31184186452396
200,-197.83611640366368
201,-178.15911012397652
202,-172.81203667859825
203,-167.6123836760719
204,-163.25433701535962
205,-159.11948737152426
206,-167.72099222758004
207,-163.40010857683032
208,-158.98508973833754
209,-143.11715999615726
210,-140.68453503818338
211,-126.70028880331154
212,-126.28774706516626
213,-126.4879800426132
214,-136.97782904538536
215,-135.6302724245556
216,-134.44793228112323
217,-133.2598638599737
218,-131.8727264653675
219,-156.6309487166659
220,-164.7562744420466
221,-160.35958313552715
222,-156.29982745871342
223,-140.8989418089252
224,-150.75332581322297
225,-135.8544770212244
226,-134.16414115007842
227,-132.77811593032078
228,-119.7280264528681
229,-119.54298543965066
230,-107.70924007910737
231,-131.7831247758421
232,-141.68999523609995
233,-139.88710371952692
234,-148.7230513551674
235,-145.77258487956266
236,-154.83713962678814
237,-139.44830042173345
238,-161.93580112448046
239,-157.84016542698552
240,-154.43548267264276
241,-162.67571769966386
242,-158.74579139686733
243,-143.04278709607848
244,-128.95586170123775
245,-128.35307502649258
246,-115.62091638725687
247,-115.77537775133439
248,-104.33958509221328
249,-106.06515348571111
250,-117.9876067221302
251,-130.746585153784
252,-141.58794357246524
253,-165.4248855130936
254,-160.99275625106682
255,-156.4041407394349
256,-152.95809352680703
257,-160.89109683423618
258,-157.05866796372143
259,-165.14717112823664
260,-160.91603850441618
261,-145.33848308248483
262,-142.89652129108111
263,-140.82084960834766
264,-138.71262892792095
265,-125.00251884002041
266,-143.3971012423823
267,-151.7140582588367
268,-148.73541929852587
269,-146.1592400048654
270,-131.75286310666542
271,-141.68323429857327
272,-127.64100273749388
273,-126.84767729452669
274,-126.65062380576992
275,-125.78022647950388
276,-125.377142854791
277,-135.2866223101936
278,-122.05813767855378
279,-133.13873011848466
280,-156.4232516102176
281,-152.61794258687783
282,-149.4339839918483
283,-159.514947427864
284,-168.1084633488676
285,-163.7011079639741
286,-159.72775338316353
287,-177.7805312971108
288,-172.35034996090172
289,-155.31539459836222
290,-151.57703100646947
291,-136.73746572713026
292,-135.7102343508032
293,-147.02735835910397
294,-144.92932578567735
295,-141.95952390825335
296,-139.98885077041828
297,-138.63023166278958
298,-124.94805795334729
299,-135.04229388132592
300,-133.6106676607964
301,-132.73484420201947
302,-142.28043249503366
303,-152.62751580441014
304,-164.53052122145218
305,-160.5870250658013
306,-144.75605040896653
307,-142.07557407456775
308,-159.99767997466387
309,-155.81356833607185
310,-164.63101421513173
311,-160.24014315146525
312,-167.8238912394283
313,-184.39497454856843
314,-177.99718642672116
315,-193.88552933763333
316,-186.24651681817733
317,-180.01653299744711
318,-196.8419853254964
319,-189.4973308670503
320,-182.7188859474371
321,-176.6490142028331
322,-170.83316644207667
323,-176.72808891546921
324,-159.21456459594606
325,-155.49058956441547
326,-152.55365772892202
327,-137.48178154765208
328,-136.45831174179597
329,-135.37421242034912
330,-134.31747005125882
331,-132.8189351333895
332,-131.32005152403266
333,-130.7277536158019
334,-140.01223442823263
335,-150.49567776665793
336,-147.29146984383877
337,-132.79405671890706
338,-119.96284086523536
339,-119.92537316924077
340,-131.48682588215868
341,-129.88699473558108
342,-117.12533117366213
343,-118.00573246783105
344,-118.67989869779171
345,-142.4482024737025
346,-151.93203002424113
347,-148.30147863744668
348,-145.96460244492425
349,-155.0273943783216
350,-151.9876032634394
351,-148.86671331376607
352,-134.2249986706212
353,-144.48758172889563
354,-142.1115739483063
355,-153.60708903585677
356,-150.49213460039186
357,-147.52090918900512
358,-145.42943202346282
359,-142.87551174765377
360,-152.31350228988043
361,-149.4028111929381
362,-158.53156697234547
363,-155.22158606624578
364,-166.14178701829823
365,-162.12591309998857
366,-146.05231752129217
367,-143.81835895605008
368,-129.80257698507148
369,-129.29523272611027
370,-128.82771254497504
371,-116.19918422430283
372,-138.61352141294006
373,-136.3787481247318
374,-122.88819339068205
375,-123.14738767021758
376,-111.1465880627195
377,-112.37821318276806
378,-125.02910915229067
379,-136.42606219327732
380,-135.05651845203002
381,-156.90986796031723
382,-153.8057878926404
383,-150.94016515481084
384,-136.0172091179455
385,-134.0716341327228
386,-133.11035803074384
387,-151.34194182064795
388,-159.94116415630018
389,-169.5983015915776
390,-164.97922173169354
391,-161.06086730570658
392,-169.4594600679723
393,-175.2691910848316
394,-169.6834860574956
395,-177.3914379869255
396,-183.98991949273636
397,-177.43511796103985
398,-160.07276577088314
399,-156.90597538808325
400,-153.44568123790356
401,-150.2246134884914
402,-147.45756210382834
403,-132.93794842391236
404,-131.440905469923
405,-155.48509912969882
406,-164.4484676862888
407,-182.54461294133756
408,-176.28880445825803
409,-170.8091302774152
410,-177.1620708703776
411,-171.67454416997313
412,-166.85051376156622
413,-162.49918585773085
414,-158.55944204153258
415,-166.2155787250451
416,-149.78205203909093
417,-170.13329102764297
418,-165.7098081087428
419,-161.53127794821887
420,-157.76303704925445
421,-154.2257007038025
422,-161.6460909693356
423,-168.61180416954966
424,-186.6880651928282
425,-196.54309286375704
426,-188.55338659610285
427,-195.54302978955104
428,-188.6249793653443
429,-182.00686041747736
430,-163.99724108956337
431,-159.92788796936946
432,-166.95498270045977
433,-162.58917729230714
434,-158.71376660795673
435,-166.0463372326428
436,-162.03598406819773
437,-158.4210016171879
438,-154.3561127475281
439,-151.155014534419
440,-159.09123800091243
441,-165.79308642032328
442,-161.61533668076964
443,-145.70991536771987
444,-131.39360997654305
445,-141.13623193473668
446,-127.25944033619083
447,-146.30628176676439
448,-131.95759636750773
449,-144.30427869075027
450,-130.15934482283495
451,-129.7498382127128
452,-129.2463212158762
453,-128.66532276952722
454,-127.92476192076936
455,-126.79390797829458
456,-114.335455074662
457,-103.11646679960228
458,-105.1108583285373
459,-118.33857525591702
460,-118.56416716124109
461,-118.77453525551242
462,-118.95499357791647
463,-119.14636393104193
464,-119.39205904435016
465,-119.24965534668101
466,-119.2009309373912
467,-119.67651866686342
468,-120.28969812678581
469,-120.90928592138748
470,-121.02992688090585
471,-120.72160275150065
472,-120.83521108498653
473,-120.90909670472207
474,-108.99905855006884
475,-133.13698804984847
476,-131.6737727485415
477,-141.708620613916
478,-139.79234800955874
479,-137.5881503158227
480,-136.32582510383412
481,-134.95390786218977
482,-133.62945081855307
483,-131.9705197025955
484,-131.37460710271506
485,-130.12528449831203
486,-129.54449024159453
487,-116.89144418046324
488,-117.50704182110607
489,-118.14663327876694
490,-129.59022770482923
491,-129.19521949526163
492,-141.55499215896657
493,-150.11458273736102
494,-147.52887518100695
495,-133.17102753350704
496,-132.50818904843337
497,-131.62043373185836
498,-155.99590670404893
499,-164.83110361598364
500,-183.89958325772952
501,-165.77724423878888
502,-172.91569984119553
503,-167.90635761381398
504,-163.6587214834017
505,-147.45954507889695
506,-144.54034516448235
507,-142.69122947256292
508,-140.66624660544574
509,-138.87641252401696
510,-137.0473741534597
511,-135.53180581463397
512,-133.88594626948964
513,-144.55793264424557
514,-154.60472456902016
515,-151.39080728197106
516,-148.78895895280127
517,-166.46693835348634
518,-162.24384929443642
519,-169.26669152974623
520,-152.5821128161942
521,-149.07737380183613
522,-146.36819344653307
523,-143.83178334465993
524,-129.6617246813583
525,-142.67529570708268
526,-128.71401100269622
527,-116.00697525537294
528,-128.02087496217325
529,-127.13743047991395
530,-137.47359554261115
531,-156.58044138850832
532,-167.78196315841444
533,-163.41640253242326
534,-159.5276919975502
535,-156.5450696128028
536,-153.21047713413344
537,-150.13645576001727
538,-160.05059870236326
539,-156.35152364350907
540,-153.43280285758985
541,-162.17096790930455
542,-182.4922093819345
543,-188.08578070129076
544,-181.70091099376344
545,-175.376736501515
546,-181.3567377698645
