ToolFace	TargetToolFace	ModelTorP	ModelTorN	TorP	TorN	outtime	sp	sn	hp	hn
294.2	210	8000	-5000	8500	-4500	2021/1/10 16:13	10			
306.7	210	6500	-5500	7000	-5000	2021/1/10 16:13	10			
320.8	210	6500	-6000	6500	-5500	2021/1/10 16:14	10			
325	210	6500	-6000	6500	-6000	2021/1/10 16:15	10			
325	210	6500	-6000	6500	-6000	2021/1/10 16:16	10			
315.2	210	7500	-6000	7000	-6000	2021/1/10 16:17	12			
292.7	210	7500	-6000	7000	-6000	2021/1/10 16:19	12			
284.2	210	7500	-5500	7000	-6000	2021/1/10 16:19	12			
278.6	210	7500	-5500	7000	-6000	2021/1/10 16:20	12			
275.8	210	7000	-6000	7000	-6000	2021/1/10 16:21	12			
270.2	210	7000	-6000	7000	-6000	2021/1/10 16:22	12			
258.9	210	7000	-6500	7000	-6500	2021/1/10 16:22	12			
249.1	210	7500	-6000	7000	-6500	2021/1/10 16:23	12			
243.4	210	7200	-5800	7000	-6000	2021/1/10 16:24	12			
236.4	210	7200	-5800	7000	-6000	2021/1/10 16:25	12			
222.3	210	7500	-4500	7500	-6000	2021/1/10 16:27	12			
218.1	210	7500	-4500	7500	-5000	2021/1/10 16:28	12			
211.1	210	7500	-4500	7500	-5000	2021/1/10 16:28	12			
206.9	210	8000	-4500	7500	-5000	2021/1/10 16:29	12			
205.5	210	8000	-4500	8000	-5000	2021/1/10 16:30	12			
202.7	210	9000	-4500	8000	-5000	2021/1/10 16:31	12			
202.7	210	10050	-5000	8000	-5000	2021/1/10 16:31	14			
188.6	210	10050	-5000	10050	-5000	2021/1/10 16:37	14			
195.6	210	10050	-5000	10050	-5000	2021/1/10 16:39	14			
202.7	210	10050	-5000	10050	-5000	2021/1/10 16:40	14			
206.9	210	10050	-5000	10050	-5000	2021/1/10 16:40	14			
212.5	210	10050	-5000	10050	-5000	2021/1/10 16:41	14			
222.3	210	10050	-5000	9350	-5000	2021/1/10 16:43	14			
223.8	210	9150	-5200	9350	-5000	2021/1/10 16:44	14			
223.8	210	8950	-5400	9150	-5200	2021/1/10 16:45	14			
223.8	210	8750	-5600	8950	-5400	2021/1/10 16:45	14			
225.2	210	8550	-5800	8750	-5600	2021/1/10 16:46	14			
222.3	210	8350	-6000	8550	-5800	2021/1/10 16:47	14			
220.9	210	10050	-5000	8350	-6000	2021/1/10 16:48	14			
216.7	210	10050	-5000	9500	-5000	2021/1/10 16:49	14			
209.7	210	10050	-5000	9500	-5000	2021/1/10 16:49	14			
206.9	210	10050	-5000	9500	-5000	2021/1/10 16:51	14			
209.7	210	10050	-5000	10050	-5000	2021/1/10 16:52	14			
208.3	210	10050	-5000	10050	-5000	2021/1/10 16:53	14			
208.3	210	10050	-5000	10050	-5000	2021/1/10 16:54	14			
211.1	210	10050	-5000	10050	-5000	2021/1/10 16:54	14			
212.5	210	10050	-5000	10050	-5000	2021/1/10 16:55	16			
211.1	210	10050	-5000	10050	-5000	2021/1/10 16:56	16			
211.1	210	10050	-5000	10050	-5000	2021/1/10 16:57	16			
212.5	210	10050	-5000	10050	-5000	2021/1/10 16:58	16			
211.1	210	10050	-5000	10050	-5000	2021/1/10 17:00	16			
212.5	210	10050	-5000	10050	-5000	2021/1/10 17:00	16			
213.9	210	10050	-5000	10050	-5000	2021/1/10 17:01	16			
215.3	210	10050	-5000	10050	-5000	2021/1/10 17:02	16			
216.7	210	10050	-5000	10050	-5000	2021/1/10 17:03	16			
219.5	210	10050	-5000	10050	-5000	2021/1/10 17:04	16			
222.3	210	10050	-5000	10050	-5000	2021/1/10 17:04	16			
223.8	210	9850	-5200	10050	-5000	2021/1/10 17:05	14			
223.8	210	9650	-5400	9850	-5200	2021/1/10 17:06	14			
228	210	9450	-5600	9650	-5400	2021/1/10 17:08	14			
228	210	9450	-5600	9650	-5400	2021/1/10 17:09	14			
223.8	210	9450	-5600	9650	-5400	2021/1/10 17:09	14			
222.3	210	9250	-5800	9450	-5600	2021/1/10 17:11	14			
219.5	210	10050	-5000	9250	-5800	2021/1/10 17:12	16			
218.1	210	10050	-5000	10050	-5000	2021/1/10 17:12	16			
216.7	210	10050	-5000	10050	-5000	2021/1/10 17:13	16			
218.1	210	10050	-5000	10050	-5000	2021/1/10 17:14	16			
