Algorithm output TorP	Algorithm output TorN	Engineer set TorP	Engineer set TorN		sp	sn
6450	-5800	6450	-5800		10	-10
6950	-5800	7450	-5300		10	-10
6450	-6300	6950	-5800		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-5800	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6450	-6300	6450	-6300		10	-10
6950	-5800	6450	-6300		10	-10
7450	-5300	6950	-5800		12	-12
7950	-4800	7450	-5300		12	-12
7450	-5300	7450	-5300		12	-12
6950	-5800	7450	-5300		12	-12
6950	-5800	6950	-5800		12	-12
7150	-5600	6950	-5800		12	-12
8000	-5400	7800	-5600		12	-12
7000	-5900	8000	-5400		12	-12
7800	-5600	8000	-5400		12	-12
7800	-5600	7800	-5600		12	-12
7800	-5600	7800	-5600		12	-12
8000	-5400	7800	-5600		14	-14
8000	-5400	7800	-5600		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-14
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
8000	-5400	8000	-5400		14	-16
9000	-5400	8800	-5400		14	-16
9200	-5200	9000	-5200		14	-16
9400	-5200	9200	-5200		14	-16
9600	-5200	9400	-5200		14	-16
10000	-5200	9800	-5200		14	-16
10200	-5200	10000	-5200		16	-16
10650	-5200	10450	-5200		16	-17
10850	-5200	10650	-5200		16	-17
11300	-5200	11100	-5200		16	-17
11500	-5200	11300	-5200		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000		16	-17
11500	-5000	11500	-5000			
