ddpg_1,ddpg_0,td3,sac,ddpg_0_1
-1260.512765,-1595.166887,-1632.408892,-1302.025575,-1595.166887
-1266.608971,-1589.873941,-1565.949074,-1318.599436,-1592.245106
-1300.859458,-1590.345681,-1563.968122,-1336.142098,-1589.417407
-1332.627801,-1587.302272,-1489.14996,-1387.894448,-1579.390663
-1342.552712,-1579.922285,-1489.160953,-1409.038436,-1570.367692
-1355.2672,-1581.267596,-1504.229147,-1444.982845,-1563.753837
-1324.61736,-1578.230373,-1442.407573,-1454.089376,-1551.619211
-1301.810082,-1576.511047,-1464.062497,-1432.883988,-1542.863539
-1260.811515,-1574.833135,-1414.3859,-1406.272983,-1530.015775
-1277.046496,-1567.218361,-1439.686645,-1378.136237,-1520.982862
-1272.576015,-1564.357067,-1412.342,-1358.734328,-1510.118776
-1282.23651,-1566.188728,-1358.592315,-1338.055169,-1494.96613
-1283.782089,-1559.270196,-1350.892514,-1324.205612,-1480.558768
-1284.936258,-1561.709984,-1335.203542,-1305.164744,-1466.023246
-1308.190207,-1562.496774,-1306.271914,-1293.039987,-1450.048113
-1326.274331,-1561.507547,-1275.783767,-1294.118382,-1432.621678
-1336.2773,-1559.560481,-1232.992535,-1288.73121,-1412.658764
-1352.968123,-1554.8542,-1208.333937,-1282.008818,-1392.226281
-1373.829067,-1554.796356,-1246.22985,-1286.361903,-1377.626638
-1310.208475,-1549.926483,-1206.499667,-1275.34261,-1360.513941
-1243.25143,-1549.714222,-1192.957266,-1257.357725,-1343.758273
-1166.506504,-1549.926428,-1256.006676,-1251.710964,-1334.983114
-1125.382253,-1550.924914,-1304.226858,-1235.213183,-1331.907488
-1088.586878,-1551.805889,-1326.191156,-1213.930727,-1331.335855
-1041.973343,-1550.065038,-1299.681644,-1211.243282,-1328.170434
-1022.165333,-1547.50013,-1327.820275,-1208.057934,-1328.135418
-974.4637733,-1549.804925,-1362.810503,-1189.612038,-1331.602926
-926.027667,-1549.665279,-1398.344805,-1175.037362,-1338.277114
-884.4653338,-1551.064106,-1406.40388,-1171.483744,-1345.089791
-860.4722627,-1551.766602,-1441.216264,-1158.278074,-1354.702438
-849.1979618,-1548.973103,-1465.690426,-1133.480893,-1365.801237
-826.3560413,-1546.663285,-1485.530081,-1106.887716,-1377.774121
-768.9668126,-1546.192016,-1491.991886,-1085.013039,-1389.195898
-717.2634682,-1545.378545,-1507.147316,-1053.116943,-1400.99104
-682.7175722,-1542.71447,-1524.205182,-1049.35951,-1413.312454
-663.758455,-1540.130068,-1538.892811,-1019.471613,-1425.87049
-660.5403225,-1540.208995,-1552.872718,-993.0437552,-1438.570712
-643.9334215,-1536.636021,-1551.285059,-984.2966162,-1449.842147
-616.8550179,-1533.226172,-1552.967811,-972.2236697,-1460.154713
-616.6240534,-1534.226482,-1556.860312,-964.0275406,-1469.825273
-592.4688304,-1528.743613,-1559.688252,-944.6228356,-1478.811571
-581.5441896,-1524.628962,-1560.326264,-948.5007539,-1486.96304
-560.7871309,-1521.647767,-1553.281772,-938.8868731,-1493.594914
-579.0323934,-1519.9035,-1535.460684,-932.7247296,-1497.781491
-546.0619761,-1521.631999,-1528.52726,-919.0094583,-1500.856068
-544.31763,-1518.443773,-1527.004008,-915.6452396,-1503.470862
-539.7281744,-1517.312683,-1527.085025,-888.9760581,-1505.832278
-532.994828,-1515.466997,-1524.256478,-991.6599222,-1507.674698
-504.6238475,-1517.143186,-1491.215854,-969.3580386,-1506.028814
-504.1748153,-1514.448098,-1480.173077,-970.6850991,-1503.44324
-502.5675363,-1510.880366,-1486.581054,-949.8111009,-1501.757021
-477.9630451,-1513.675696,-1485.123545,-926.3041054,-1500.093674
-478.8932004,-1514.675494,-1487.292018,-920.7812109,-1498.813508
-455.2288411,-1515.934384,-1489.278184,-925.9861087,-1497.859976
-485.7497729,-1513.255218,-1489.202475,-922.0664976,-1496.994226
-473.4761887,-1507.123832,-1493.469746,-917.6498514,-1496.641778
-462.136266,-1498.553698,-1485.989149,-911.3944987,-1495.576515
-440.4639521,-1494.322414,-1487.824833,-921.4482579,-1494.801347
-438.8509115,-1491.336449,-1488.639756,-905.6224783,-1494.185188
-419.730252,-1476.457191,-1492.534126,-902.9792306,-1494.020081
-436.7997137,-1470.847034,-1488.958964,-888.8260854,-1493.51397
-453.4708818,-1457.401687,-1491.828826,-875.8412069,-1493.345455
-450.0565249,-1445.488966,-1494.563741,-973.8130297,-1493.467284
-453.455218,-1433.572963,-1494.786374,-976.1465975,-1493.599193
-444.8492369,-1420.548512,-1495.410234,-966.7587874,-1493.780297
-436.9775844,-1406.352152,-1495.681508,-958.3979043,-1493.970418
