,0
0,-1498.5596736115049
1,-1445.9332403669605
2,-1433.8884740653882
3,-1408.6523599093468
4,-1433.0206301261655
5,-1466.9416930396847
6,-1417.0417760792416
7,-1447.4642205132313
8,-1386.0197404346384
9,-1412.2364225034007
10,-1397.1940588464888
11,-1365.872119124335
12,-1372.6869626944012
13,-1369.588782860109
14,-1322.4477342927014
15,-1276.7393227949663
16,-1236.3210940252607
17,-1213.3928995314468
18,-1260.8047782109122
19,-1224.0989631524776
20,-1177.0345639195461
21,-1218.4022791067246
22,-1252.5072623171504
23,-1252.4170767083674
24,-1232.5341518226278
25,-1270.6085284057785
26,-1310.04822137649
27,-1340.47465366481
28,-1353.977966958744
29,-1396.2758123078956
30,-1421.1987795365967
31,-1437.5988774275183
32,-1441.4458657024754
33,-1452.732754181358
34,-1464.8758800573266
35,-1477.7715312026253
36,-1490.079043462947
37,-1488.035620230624
38,-1492.4190309176845
39,-1499.4513570989534
40,-1508.3964452930654
41,-1515.0644225420815
42,-1512.5801754196752
43,-1499.1078487275129
44,-1496.9837918520152
45,-1499.9187113310893
46,-1503.4246151192888
47,-1502.8188767441984
48,-1467.0429571770396
49,-1437.6973231936272
50,-1450.1467056008823
51,-1452.0902461788705
52,-1458.6146941660631
53,-1462.2797599775113
54,-1466.8903245357853
55,-1474.685771343977
56,-1469.2331513270963
57,-1474.041863742065
58,-1476.3971957152055
59,-1480.9925526183342
60,-1475.1151965291679
61,-1478.6015390360085
62,-1479.5863404177328
63,-1481.0769618517402
64,-1483.4499438740133
65,-1480.511206461304
66,-1458.9682735801234
67,-1465.7306650363298
68,-1471.0076130243212
69,-1478.0027290969397
70,-1475.6879004717994
71,-1468.7236179318888
72,-1473.477528227359
73,-1326.5440797081096
74,-1344.473467553608
75,-1340.4104125346355
76,-1355.8796640640617
77,-1360.4711667883084
78,-1368.4228484943449
79,-1363.0371557178821
80,-1378.2428264840894
81,-1299.1923922707865
82,-1309.9879239544227
83,-1302.6777477759217
84,-1305.4854122300762
85,-1306.6238836905452
86,-1312.2905060925068
87,-1313.72447723783
88,-1309.3312062203656
89,-1309.5647102304908
90,-1307.5002131354195
91,-1304.9455694722387
92,-1304.5965082069426
93,-1297.3973226901917
94,-1197.0771983734087
95,-1228.3178885588427
96,-1227.7472471453013
97,-1232.199609538575
98,-1232.3307389614656
99,-1261.0043007498134
100,-1258.7993976735484
101,-1257.80778781206
102,-1282.9750330113725
103,-1305.9696733646354
104,-1326.689236833724
105,-1314.8704639925352
106,-1307.218528099097
107,-1329.4112100394816
108,-1316.740489668064
109,-1336.6360618666404
110,-1316.428326902715
111,-1300.5027925743486
112,-1296.3283020670397
113,-1286.4167687562983
114,-1279.5900672677367
115,-1303.6448710612324
116,-1298.2005766729976
117,-1283.390635346504
118,-1274.4644511102463
119,-1262.6145707300454
120,-1257.0927877605795
121,-1247.3061610425307
122,-1240.8385770414566
123,-1268.4785786971665
124,-1256.9975919865526
125,-1249.8808222449982
126,-1236.2482075667892
127,-1225.127505138344
128,-1215.1828282620634
129,-1211.8417830751991
130,-1090.775078246831
131,-1097.0103247725215
132,-1090.6216094459612
133,-1090.5357036999044
134,-1132.7452454079448
135,-1170.8035880776072
136,-1165.487477023888
137,-1200.873198075952
138,-1190.4971210114177
139,-1186.481031353207
140,-1176.369897423393
141,-1170.7023769697319
142,-1204.776015268824
143,-1192.9535699405837
144,-1173.9591292109376
145,-1151.7248015565924
146,-1036.6779616339425
147,-1027.9298453852712
148,-925.4275628857922
149,-984.547672323727
150,-1037.5822254393015
151,-1034.152937589797
152,-931.4417795085907
153,-936.6965009610681
154,-938.7074569427946
155,-936.3038585911916
156,-936.3290788069262
157,-937.2691438023016
158,-937.278144226994
159,-936.1996219232586
160,-939.2729243326021
161,-950.1467935178665
162,-958.8938054697367
163,-955.5370020089601
164,-954.0993369944804
165,-943.9026113194832
166,-943.8035879018285
167,-956.7945754478238
168,-955.3584172884584
169,-954.3348734069207
170,-953.6806168409416
171,-948.0826352339013
172,-946.3787658749784
173,-953.1106836737924
174,-952.1413765401691
175,-1008.7149939065628
176,-977.7063940485655
177,-1031.6338775084844
178,-955.5829951076929
179,-902.0700116556774
180,-881.0628551418781
181,-820.267674196431
182,-805.7135236020893
183,-805.631639185815
184,-876.5405965774567
185,-802.8149227548095
186,-749.3322771893112
187,-674.950544506256
188,-648.6472612689313
189,-584.1820018444305
190,-552.4675622083257
191,-562.8254753292421
192,-519.9790704176321
193,-533.5283356798524
194,-507.0005967568787
195,-498.21660838200796
196,-531.6386600480805
197,-629.8908461108374
198,-611.109348583173
199,-563.5382198549993
200,-658.2579848029354
201,-644.9388668402918
202,-594.0733224676459
203,-547.6127107754162
204,-519.8885559102158
205,-481.14265245908086
206,-446.6346627309164
207,-415.1875906100154
208,-387.07723009980697
209,-348.6557019071715
210,-340.3797274313466
211,-319.36503895732
212,-300.5573027637016
213,-270.82692163238613
214,-284.46430381541524
215,-256.3239406562661
216,-231.13926397888983
217,-234.48739962662444
218,-362.45686961261026
219,-375.8245384690329
220,-351.335754032672
221,-329.72907415441676
222,-297.1462709292055
223,-418.7601960729087
224,-418.7989394075483
225,-390.5383090943983
226,-405.8147873522579
227,-392.5194860543901
228,-504.4496170136953
229,-467.7794377612425
230,-446.97159164594615
231,-429.5793702629496
232,-400.06146314001313
233,-360.74122103883053
234,-352.85218443123273
235,-355.19420803680686
236,-332.7405500044484
237,-312.77265806329035
238,-308.6930793865136
239,-303.7077681340006
240,-286.97888318366296
241,-296.56093935096834
242,-280.43754884329053
243,-279.8531656546059
244,-291.7593830610004
245,-263.2746399138975
246,-388.10869600786634
247,-387.23494268271696
248,-386.60420045536046
249,-361.2707714359753
250,-338.4462485504183
251,-331.48396099745105
252,-311.63320619704683
253,-316.5524822488249
254,-298.4200074909105
255,-293.91703692062157
256,-290.97893271967683
257,-275.1296748893007
258,-260.6697421863969
259,-260.7985543922652
260,-247.6817275955583
261,-374.17386873640044
262,-350.26369115516314
263,-315.7946623610787
264,-297.70594430766204
265,-293.7420541495004
266,-291.1360485600871
267,-274.972286057275
268,-260.6576994632556
269,-248.01878705251806
270,-261.1984835249213
271,-235.59931151822263
272,-225.39462412570845
273,-215.92467303665546
274,-220.92137683569365
275,-212.0748578486186
276,-203.62131995811436
277,-197.05665398866216
278,-216.92327459482465
279,-208.47759599393274
280,-200.71774260175297
281,-194.54616900411952
282,-188.255969142918
283,-181.9479086390256
284,-177.85391995918252
285,-173.53377551940852
286,-169.04228667351714
287,-192.28847654395696
288,-186.4430377980431
289,-168.5094645844168
290,-164.7348666391923
291,-172.58767487671201
292,-167.5420676481544
293,-151.3932171583553
294,-149.57221095695846
295,-146.92897718094974
296,-132.8507936620375
297,-146.06930351983883
298,-157.35407369809514
299,-154.00912368897698
300,-151.72641709720295
301,-161.04173568133086
302,-157.43624613552328
303,-155.19571067033993
304,-169.38586079523625
305,-165.88398018062082
306,-162.43586008044005
307,-146.85462393481885
308,-145.49397349839538
309,-144.41047854431045
310,-143.14633370959692
311,-142.24419440823664
312,-154.69731884544217
313,-152.85028524619625
314,-163.54703534907003
315,-148.33617168782837
316,-146.9485327682509
317,-145.97438621363497
318,-145.4159420231574
319,-166.945976839472
320,-164.1300891636472
321,-161.5853389959473
322,-158.7635977623188
323,-169.36128796275818
324,-165.99909385557035
325,-162.82827256182674
326,-182.96354318819397
327,-165.66194727865036
328,-150.18232153770035
329,-136.31395387024185
330,-136.15149569334713
331,-135.79304373263398
332,-147.35110468676825
333,-145.6967900910528
334,-144.4710466267215
335,-143.68201080349718
336,-141.4491838037053
337,-140.3219657955877
338,-138.65396713058087
339,-154.71487455000016
340,-163.59970470544854
341,-160.90021376092034
342,-169.19682449397885
343,-176.719432372342
344,-172.04874067636123
345,-168.57394256714548
346,-178.5304114049442
347,-184.86735274012057
348,-179.64348054390805
349,-175.16089929870643
350,-158.56090396422485
351,-155.55126335905473
352,-153.51582368653234
353,-150.59561324635447
354,-149.13553810212167
355,-160.00509212963033
356,-179.35758872987452
357,-174.9210281055502
358,-170.49994183967308
359,-180.2431338792604
360,-186.35773191948363
361,-181.11446568598268
362,-164.03383021029816
363,-172.5545005339707
364,-156.02887720943275
365,-153.95966232007515
366,-151.01742277737569
367,-136.78071880690393
368,-136.34627728933677
369,-147.2145937256838
370,-157.37706607754092
371,-153.7935195261064
372,-161.32362006083326
373,-158.56981092480578
374,-167.56816924553388
375,-176.6139334548481
376,-172.3877371092789
377,-189.70931586401292
378,-184.3428585200585
379,-190.21906407169598
380,-195.58145635548527
381,-202.94294785253672
382,-208.61296955692322
383,-200.90893150350507
384,-193.97135660702364
385,-187.92740046544375
386,-181.4007003847609
387,-199.03030798277535
