sp,sn,hp,hn
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-5
12,-12,3,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-14,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-5
14,-16,5,-6
14,-16,5,-6
14,-16,5,-6
14,-16,5,-6
16,-16,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
16,-17,8,-6
