ToolFace	TargetToolFace	ModelTorP	ModelTorN	TorP	TorN	outtime	sp	sn	hp	hn
294.2	210	8000	-5000	8500	-4500	2021/1/10 16:13	10	-10	3	-3
306.7	210	6500	-5500	7000	-5000	2021/1/10 16:13	10	-10	3	-3
320.8	210	6500	-6000	6500	-5500	2021/1/10 16:14	10	-10	3	-3
325	210	6500	-6000	6500	-6000	2021/1/10 16:15	10	-10	3	-3
325	210	6500	-6000	6500	-6000	2021/1/10 16:16	10	-14	3	-3
315.2	210	7500	-6000	7000	-6000	2021/1/10 16:17	12	-14	3	-3
292.7	210	7500	-6000	7000	-6000	2021/1/10 16:19	12	-14	3	-3
284.2	210	7500	-5500	7000	-6000	2021/1/10 16:19	12	-14	3	-3
278.6	210	7500	-5500	7000	-6000	2021/1/10 16:20	12	-14	3	-3
275.8	210	7000	-6000	7000	-6000	2021/1/10 16:21	12	-14	3	-3
270.2	210	7000	-6000	7000	-6000	2021/1/10 16:22	12	-14	3	-3
258.9	210	7000	-6500	7000	-6500	2021/1/10 16:22	12	-14	3	-3
249.1	210	7500	-6000	7000	-6500	2021/1/10 16:23	12	-14	3	-3
243.4	210	7200	-5800	7000	-6000	2021/1/10 16:24	12	-14	3	-3
236.4	210	7200	-5800	7000	-6000	2021/1/10 16:25	12	-14	3	-3
222.3	210	7500	-4500	7500	-6000	2021/1/10 16:27	12	-14	3	-3
218.1	210	7500	-4500	7500	-5000	2021/1/10 16:28	12	-12	3	-3
211.1	210	7500	-4500	7500	-5000	2021/1/10 16:28	12	-12	3	-3
206.9	210	8000	-4500	7500	-5000	2021/1/10 16:29	12	-12	3	-3
205.5	210	8000	-4500	8000	-5000	2021/1/10 16:30	12	-12	3	-3
202.7	210	9000	-4500	8000	-5000	2021/1/10 16:31	12	-12	3	-3
202.7	210	10050	-5000	8000	-5000	2021/1/10 16:31	14	-12	5	-3
188.6	210	10050	-5000	10050	-5000	2021/1/10 16:37	14	-12	5	-5
195.6	210	10050	-5000	10050	-5000	2021/1/10 16:39	14	-12	5	-5
202.7	210	10050	-5000	10050	-5000	2021/1/10 16:40	14	-12	5	-5
206.9	210	10050	-5000	10050	-5000	2021/1/10 16:40	14	-12	5	-5
212.5	210	10050	-5000	10050	-5000	2021/1/10 16:41	14	-12	5	-5
222.3	210	10050	-5000	9350	-5000	2021/1/10 16:43	14	-12	5	-5
223.8	210	9150	-5200	9350	-5000	2021/1/10 16:44	14	-12	5	-5
223.8	210	8950	-5400	9150	-5200	2021/1/10 16:45	14	-12	5	-5
223.8	210	8750	-5600	8950	-5400	2021/1/10 16:45	14	-12	5	-5
225.2	210	8550	-5800	8750	-5600	2021/1/10 16:46	14	-12	5	-5
222.3	210	8350	-6000	8550	-5800	2021/1/10 16:47	14	-12	5	-5
220.9	210	10050	-5000	8350	-6000	2021/1/10 16:48	14	-12	5	-5
216.7	210	10050	-5000	9500	-5000	2021/1/10 16:49	14	-12	5	-5
209.7	210	10050	-5000	9500	-5000	2021/1/10 16:49	14	-12	5	-5
206.9	210	10050	-5000	9500	-5000	2021/1/10 16:51	14	-12	5	-5
209.7	210	10050	-5000	10050	-5000	2021/1/10 16:52	14	-12	5	-5
208.3	210	10050	-5000	10050	-5000	2021/1/10 16:53	14	-12	5	-5
208.3	210	10050	-5000	10050	-5000	2021/1/10 16:54	14	-12	5	-5
211.1	210	10050	-5000	10050	-5000	2021/1/10 16:54	14	-12	5	-5
212.5	210	10050	-5000	10050	-5000	2021/1/10 16:55	16	-12	5	-5
211.1	210	10050	-5000	10050	-5000	2021/1/10 16:56	16	-12	5	-5
211.1	210	10050	-5000	10050	-5000	2021/1/10 16:57	16	-12	5	-5
212.5	210	10050	-5000	10050	-5000	2021/1/10 16:58	16	-12	5	-5
