,m_p,m_n,eng_p,eng_n
0,3.0,3.4078484,3.0,3.0
1,3.0,3.0,3.0,3.0
2,3.0,2.9954154,3.0,3.0
3,3.0,4.0040503,3.0,3.0
4,3.0,3.1487048,3.0,3.0
5,2.9980931,3.0,3.1361492,3.0
6,3.0,5.0,5.0,5.0
7,5.091638,5.0,4.9797187,5.0
8,5.0,5.0,5.1434016,5.0
9,5.0,5.0,5.0,6.1341553
10,5.0,4.922024,4.7171702,5.0
11,4.9661126,5.0,5.0,5.0
12,4.9885635,5.0,5.0,5.0
13,5.0716047,5.0,8.0,8.0
14,8.0,8.0,7.0029044,8.13179
15,8.0,8.0,8.050133,8.0
16,8.0,8.0,8.0,7.5982404
17,-3.0,-3.0,-3.0,-3.0
18,-3.0,-3.0,-3.068998,-3.872856
19,-3.0,-2.980325,-3.0,-3.0
20,-3.0,-3.0,-3.0,-2.70001
21,-3.0,-2.8272092,-3.0,-3.0
22,-3.0,-2.8196063,-3.0,-5.0
23,-5.0,-5.0,-5.025941,-5.0
24,-5.0,-5.6145787,-5.0,-5.0
25,-5.019254,-5.0,-5.0,-5.0
26,-5.0,-4.7402124,-5.0,-5.0985966
27,-5.0268083,-5.0,-5.0,-5.0
28,-5.0,-5.0,-5.0264287,-5.0
29,-5.0,-5.014911,-6.0,-6.0
30,-6.0,-6.0,-5.8712177,-6.0
31,-6.0,-6.669609,-6.0,-6.0
32,-6.0,-6.0,-6.0286307,-6.0
33,-6.206352,-6.0,-6.0,-6.1182065
34,3.0,3.4078484,3.0,3.0
35,3.0,3.0,3.0,3.0
36,3.0,3.0,3.0,3.0
37,3.0,4.0040503,3.0,3.0
38,3.0,3.0,3.0,3.0
39,2.9980931,3.0,3.0,3.0
40,3.0,5.0,5.0,5.0
41,5.0,5.0,5.0,5.0
42,5.0,5.0,5.0,5.0
43,5.0,5.0,5.0,6.1341553
44,5.0,5.0,4.7171702,5.0
45,5.0,5.0,5.0,5.0
46,5.0,5.0,5.0,5.0
47,5.0,5.0,8.0,8.0
48,8.0,8.0,7.0029044,8.0
49,8.0,8.0,8.0,8.0
50,8.0,8.0,8.0,7.5982404
51,-3.0,-3.0,-3.0,-3.0
52,-3.0,-3.0,-3.0,-3.872856
53,-3.0,-3.0,-3.0,-3.0
54,-3.0,-3.0,-3.0,-2.70001
55,-3.0,-3.0,-3.0,-3.0
56,-3.0,-3.0,-3.0,-5.0
57,-5.0,-5.0,-5.0,-5.0
58,-5.0,-5.6145787,-5.0,-5.0
59,-5.0,-5.0,-5.0,-5.0
60,-5.0,-4.7402124,-5.0,-5.0
61,-5.0,-5.0,-5.0,-5.0
62,-5.0,-5.0,-5.0,-5.0
63,-5.0,-5.0,-6.0,-6.0
64,-6.0,-6.0,-6.0,-6.0
65,-6.0,-6.669609,-6.0,-6.0
66,-6.0,-6.0,-6.0,-6.0
67,-6.206352,-6.0,-6.0,-6.0
