,m_p,m_n,eng_p,eng_n
0,10.0,10.0,10.0,10.0
1,10.0,10.048816,10.0,10.0
2,10.0,10.0,9.875739,10.0
3,10.0,10.0,12.0,12.396977
4,12.0,13.925789,12.0,12.0
5,11.901005,12.0,12.0,12.0
6,12.0,14.0,14.0,13.946631
7,14.0,13.978764,14.0,14.0
8,14.0,14.0,14.71198,14.0
9,14.0,14.627811,14.0,14.0
10,14.0,14.0,14.0,14.0
11,14.0,13.864129,14.397472,14.0
12,14.186089,14.0,14.0,14.0
13,14.388752,13.963779,16.0,16.0
14,16.0,16.0,16.003227,16.0
15,16.0,16.0,15.86855,16.0
16,16.0,16.0,16.0,16.0
17,-10.883739,-10.0,-10.0,-9.959171
18,-10.0,-10.0,-10.0,-10.177058
19,-10.0,-10.0,-10.0,-10.0
20,-10.286591,-10.0,-14.619842,-12.0
21,-12.0,-12.0,-12.0,-12.0
22,-12.0,-11.52756,-12.818311,-12.608046
23,-11.771001,-14.0,-14.0,-14.0
24,-14.0,-13.7305765,-14.0,-14.093664
25,-13.613421,-14.0,-14.0,-14.0
26,-14.0,-14.0,-14.0,-14.0
27,-14.579021,-16.0,-16.0,-16.0
28,-16.0,-16.0,-16.0,-16.03031
29,-16.0,-15.684107,-16.0,-15.977032
30,-16.0,-16.0,-16.0,-17.0
31,-17.0,-17.0,-17.0,-17.414667
32,-17.0,-17.0,-17.422709,-17.0
33,-17.0,-17.0,-17.0,-17.0
34,10.0,10.0,10.0,10.0
35,10.0,10.048816,10.0,10.0
36,10.0,10.0,10.0,10.0
37,10.0,10.0,12.0,12.0
38,12.0,13.925789,12.0,12.0
39,12.0,12.0,12.0,12.0
40,12.0,14.0,14.0,14.0
41,14.0,14.0,14.0,14.0
42,14.0,14.0,14.71198,14.0
43,14.0,14.0,14.0,14.0
44,14.0,14.0,14.0,14.0
45,14.0,14.0,14.0,14.0
46,14.186089,14.0,14.0,14.0
47,14.0,13.963779,16.0,16.0
48,16.0,16.0,16.0,16.0
49,16.0,16.0,16.0,16.0
50,16.0,16.0,16.0,16.0
51,-10.883739,-10.0,-10.0,-10.0
52,-10.0,-10.0,-10.0,-10.0
53,-10.0,-10.0,-10.0,-10.0
54,-10.0,-10.0,-14.806545,-12.0
55,-12.0,-12.0,-12.0,-12.0
56,-12.0,-12.0,-12.0,-12.608046
57,-12.0,-14.0,-14.0,-14.0
58,-14.0,-13.7305765,-14.0,-14.0
59,-14.0,-14.0,-14.0,-14.0
60,-14.0,-14.0,-14.0,-14.0
61,-14.0,-16.0,-16.0,-16.0
62,-16.0,-16.0,-16.0,-16.0
63,-16.0,-15.684107,-16.0,-16.0
64,-16.0,-16.0,-16.0,-17.0
65,-17.0,-17.0,-17.0,-17.865803
66,-17.0,-17.0,-17.0,-17.0
67,-17.0,-17.0,-17.0,-17.0
