,0
0,-34.95062745282365
1,-34.891630852261436
2,-34.87479907940545
3,-34.81654184908202
4,-34.81460242072887
5,-34.812368476235115
6,-34.79000408678154
7,-34.83002461458741
8,-34.78619711752324
9,-34.749245211345695
10,-34.711595969815036
11,-34.68852349226587
12,-34.64826903268843
13,-34.65376380682636
14,-34.635399577348124
15,-34.639759467994686
16,-34.68762973184795
17,-34.69127068520384
18,-34.65444224665642
19,-34.679828680029395
20,-34.6806726596885
21,-34.690638475145754
22,-34.61775886669383
23,-34.574767674554195
24,-34.546232146782046
25,-34.593839171982694
26,-34.55768316034124
27,-34.55242435213322
28,-34.57292235490472
29,-34.586538122882544
30,-34.629765700424436
31,-34.62483834146084
32,-34.651197919146426
33,-34.65099152139127
34,-34.64017003939363
35,-34.63520131558168
36,-34.64046566967628
37,-34.651537560838555
38,-34.65896248800324
39,-34.616680163488304
40,-34.6117073787712
41,-34.615941482401134
42,-34.62455270586518
43,-34.60610475525843
44,-34.586558797355465
45,-34.566777911459646
46,-34.53861835836131
47,-34.506988899482664
48,-34.472162465689856
49,-34.45217803797539
50,-34.44470885927116
51,-34.48067074605871
52,-34.41750952805344
53,-34.386355473925974
54,-34.27743221997409
55,-34.081832141884966
56,-33.814759827260694
57,-33.60275715975126
58,-33.31340982369011
59,-33.011399661911085
60,-32.72815149511374
61,-32.4475686680876
62,-32.15335283264185
63,-31.859358187023975
64,-31.567306242679212
65,-31.304415033354413
66,-31.01567337847368
67,-30.743872406442307
68,-30.44479012412354
69,-30.174781068541062
70,-29.886571466012903
71,-29.597592764052056
72,-29.307411381562748
73,-29.041702882921978
74,-28.76039258743118
75,-28.4769618448493
76,-28.215809228371658
77,-27.957533816634125
78,-27.684024254715283
79,-27.414458111865024
80,-27.145775553141306
81,-26.890607099544138
82,-26.624940651799516
83,-26.381820632217384
84,-26.12860291079449
85,-25.879338193391273
86,-25.626273864930944
87,-25.374345103322757
88,-25.132039492018052
89,-24.90178916243625
90,-24.66329749430034
91,-24.432660147920167
92,-24.194667977593504
93,-23.97194346869692
94,-23.739621623028253
95,-23.516488690306463
96,-23.306227389617305
97,-23.08702169952806
98,-22.866453248196326
99,-22.650644949868656
100,-22.431544577782073
101,-22.222297951280826
102,-22.028393507943477
103,-21.815268033858878
104,-21.60665511592285
105,-21.402002533263403
106,-21.192612203870908
107,-21.003070636991854
108,-20.808368738183177
109,-20.603507639537973
110,-20.410910947441163
111,-20.227390963160293
112,-20.049427629221924
113,-19.85989150222196
114,-19.66946218782555
115,-19.479826049351875
116,-19.2957525987272
117,-19.1155743642129
118,-18.930760118379034
119,-18.74861406999352
120,-19.134168672572496
121,-19.163747061432936
122,-18.9846380369453
123,-18.800083523211008
124,-18.62754017383397
125,-18.451016344401356
126,-18.27708957024711
127,-18.110870037660703
128,-17.945172170188368
129,-17.78873585602268
130,-17.62261844575186
131,-17.457535047001137
132,-17.295102803691034
133,-17.13035302450411
134,-16.97212193798148
135,-16.806889678116423
136,-16.64265228034678
137,-16.487505653792834
138,-16.338098474399683
139,-16.186341874017828
140,-16.036155085742557
141,-15.891793046695703
142,-15.771811626124018
143,-15.636450668717329
144,-15.51506359323841
145,-15.368542883156472
146,-15.225247013877249
147,-15.091644688594691
148,-14.944135938420176
149,-14.814555505794663
150,-14.66929259247714
151,-14.53413754536448
152,-14.390501505865972
153,-14.251212220663689
154,-14.119114481943452
155,-13.993378082965743
156,-13.859422439418982
157,-13.726557472310706
158,-13.594499435687018
159,-13.464192467048003
160,-13.337382829223088
161,-13.227908442903358
162,-13.10686004739298
163,-12.999901174470404
164,-12.88611663162657
165,-12.767062618692409
166,-12.658930008918263
167,-12.542478217116319
168,-12.421180507258299
169,-12.315877024085683
170,-12.205693062566915
171,-12.091071309628768
172,-11.975202798081362
173,-11.863209293876421
174,-11.757469115364422
175,-11.644649594722516
176,-11.53503753778696
177,-11.425997897565972
178,-11.31835629472576
179,-11.21129527834397
180,-11.104716715099274
181,-11.002881455600537
182,-10.925912509680169
183,-10.826978314119025
184,-10.727096725322317
185,-10.632436565602426
186,-10.534933795421221
187,-10.4364269830789
188,-10.342297021032465
189,-10.246720953974354
190,-10.147756349211047
191,-10.07210044080846
192,-9.977696249955807
193,-9.886393078385819
194,-9.801043756085106
195,-9.713844960681788
196,-9.62538933637999
197,-9.542767797402716
198,-9.456905208945718
199,-9.384709947248917
200,-9.299319713459
201,-9.233058593841882
202,-9.16733441471086
203,-9.088251557398484
204,-9.012770143435123
205,-8.929310096550841
206,-8.846326110135506
207,-8.762548662149861
208,-8.681455041877856
209,-8.607657079749089
210,-8.540555838312395
211,-8.460773470559328
212,-8.381528891099437
213,-8.31288963026645
214,-8.244044504763451
215,-8.16402235932898
216,-8.085420791126996
217,-8.015349265078054
218,-7.960395467629912
219,-7.893046610364191
220,-7.819614798797447
221,-7.747987348658646
222,-7.681005450754195
223,-7.608337119114237
224,-7.561111250689003
225,-7.488958676219202
226,-7.423069180002827
227,-7.368575350637356
228,-7.311720846871927
229,-7.258952778929473
230,-7.202687074611175
231,-7.143801128982641
232,-7.0758361520460475
233,-7.0228394795628635
234,-6.956297582800659
235,-6.893247142928593
236,-6.84289345020935
237,-6.778671765117347
238,-6.717272054861635
239,-6.665811119526869
240,-6.6238003915995485
241,-6.578454242382922
242,-6.529309018935508
243,-6.470904065412146
244,-6.413870298694184
245,-6.356241208587923
246,-6.306956729999257
247,-6.2696075971195135
248,-6.223895540042789
249,-6.175394976482195
250,-6.127247480412712
251,-6.079577907485412
252,-6.027116815209566
253,-5.973188878709466
254,-6.111690536231814
255,-6.081682394000936
256,-6.027287350764453
257,-5.998735810001809
258,-5.94843071556743
259,-5.905180042442733
260,-5.856654635121125
261,-5.867112542039492
262,-5.828184361275919
263,-6.178093078263743
264,-6.519760070299943
265,-6.861172311536927
266,-6.800139118474512
267,-6.742406568754965
268,-6.700492052663832
269,-6.747041447277512
270,-6.686406935925423
271,-6.62584692277382
272,-6.567094308820482
273,-6.5174173222507354
274,-6.458520664535407
275,-6.400766916491722
276,-6.349131196673309
277,-6.309307166875714
278,-6.252188438083214
279,-6.20968981470452
280,-6.152998703387524
281,-6.102238718195462
282,-6.054374698782743
283,-5.999588773090586
284,-5.947756336943321
285,-5.894271318942055
286,-5.848240347347492
287,-5.79565365393769
288,-5.74530679208866
289,-5.712618922251083
290,-5.662575229143482
291,-5.611454415363596
292,-5.576390826063928
293,-5.528818226467512
294,-5.489281378450649
295,-5.448826760676335
296,-5.401198200249178
297,-5.369721531536363
298,-5.342117409965561
299,-5.304043365448136
300,-5.257869624165855
301,-5.220914032412863
302,-5.183804566467438
303,-5.15369531093939
304,-5.1251163080331406
305,-5.084046109319113
306,-5.049525650202414
307,-5.023543841801121
308,-4.980269668899997
309,-4.941895127500963
310,-4.923005208468071
311,-4.891421223748149
312,-4.85899825919774
313,-4.828715533837043
314,-4.787365684681101
315,-4.755742187828847
316,-4.721076489607169
317,-4.685694295322183
318,-4.661673105066051
319,-4.639611022949937
320,-4.60759788890302
321,-4.569087570014047
322,-4.530458345875715
323,-4.490999530778799
324,-4.4540368145793225
325,-4.415778130587078
326,-4.38714135013881
327,-4.3548000830380325
328,-4.324655359094913
329,-4.301509398951774
330,-4.268271942618502
331,-4.233700242140256
332,-4.197175749819043
333,-4.170592063347002
334,-4.139687434801415
335,-4.10568688045235
336,-4.073001311650909
337,-4.040878097828972
338,-4.006284833359566
339,-3.9712111217298265
340,-3.9508371222666048
341,-3.9204662215693733
342,-3.8949196896450355
343,-3.8650625872890365
344,-3.8316949625666847
345,-3.81383421386186
346,-3.7920255135547034
347,-3.7763656601802964
348,-3.745822825748908
349,-3.7145265104249225
350,-3.6831382747418795
351,-3.658799409219751
352,-3.6291363909446286
353,-3.6042746220595987
354,-3.5741219606902455
355,-3.545235265365242
356,-3.5198444722194324
357,-3.4947863982801257
358,-3.466318921353899
359,-3.44197946397877
360,-3.4145666439545725
361,-3.38954382049146
362,-3.363981082581465
363,-3.3525309754806805
364,-3.3368463579041734
365,-3.3101787157289584
366,-3.297968310651319
367,-3.275705533769205
368,-3.2488851666467955
369,-3.2335537473796743
370,-3.2181996241163997
371,-3.1981392550598264
372,-3.171196255719547
373,-3.150140262345776
374,-3.1333478598151916
375,-3.117133319555062
376,-3.1018652322602303
377,-3.087129465879684
378,-3.074612638664531
379,-3.061401697682446
380,-3.0400629243134256
381,-3.02822559270107
382,-3.00661478496288
383,-2.9820342556735473
384,-2.972046077689399
385,-2.961138849120188
386,-2.9382434146241154
387,-2.91556885750376
388,-2.8991783056767737
389,-2.8782635759370536
390,-2.8692379039570066
391,-2.8470188755219357
392,-2.8243164303322286
393,-2.8043501083542415
394,-2.7930206591558533
395,-2.770283608537019
396,-2.752299906129778
397,-2.7314368038587085
398,-2.7138206781698138
399,-2.7140979002033974
