ID,ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
1,176.2,0,10000,-5000,,,2020/12/4 13:19,2020/12/4,13:19:00,47940
2,187.5,180,6500,-3000,5500,-3000,2020/12/4 13:35,2020/12/4,13:35:00,48900
3,170.6,180,7500,-3000,6500,-3000,2020/12/4 13:40,2020/12/4,13:40:00,49200
4,355.8,0,8500,-4000,8500,-4000,2021/1/6 13:58,2021/1/6,13:58:00,50280
5,357.2,0,8500,-4000,8500,-4000,2021/1/6 14:00,2021/1/6,14:00:00,50400
6,354.4,0,8500,-4000,8500,-4000,2021/1/6 14:01,2021/1/6,14:01:00,50460
7,355.8,0,8500,-4000,8500,-4000,2021/1/6 14:02,2021/1/6,14:02:00,50520
8,353,0,9500,-4000,8500,-4000,2021/1/6 14:03,2021/1/6,14:03:00,50580
9,353,0,10500,-4000,9500,-4000,2021/1/6 14:05,2021/1/6,14:05:00,50700
10,355.8,0,10500,-4000,9500,-4000,2021/1/6 14:06,2021/1/6,14:06:00,50760
11,358.6,0,10500,-4000,9500,-4000,2021/1/6 14:06,2021/1/6,14:06:00,50760
12,355.8,0,10500,-4000,9500,-4000,2021/1/6 14:09,2021/1/6,14:09:00,50940
13,354.4,0,10500,-4000,9500,-4000,2021/1/6 14:11,2021/1/6,14:11:00,51060
14,357.2,0,10500,-4000,9500,-4000,2021/1/6 14:12,2021/1/6,14:12:00,51120
15,357.2,0,11500,-4000,10500,-4000,2021/1/6 14:13,2021/1/6,14:13:00,51180
16,355.8,0,11500,-4000,10500,-4000,2021/1/6 14:13,2021/1/6,14:13:00,51180
17,353,0,11500,-4000,10500,-4000,2021/1/6 14:15,2021/1/6,14:15:00,51300
18,355.8,0,12500,-4000,11500,-4000,2021/1/6 14:16,2021/1/6,14:16:00,51360
19,0,0,12500,-4000,11500,-4000,2021/1/6 14:17,2021/1/6,14:17:00,51420
20,4.2,0,12500,-4000,11500,-4000,2021/1/6 14:19,2021/1/6,14:19:00,51540
