ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
1,36.7,29.7,21.3,11.4,8.6,0,8850,-5850,9350,-5350,2021/1/14 11:32,2021/1/14,11:32:00,41520
2,52.2,36.7,29.7,21.3,11.4,30,8650,-6550,8850,-6350,2021/1/14 11:33,2021/1/14,11:33:00,41580
3,59.2,52.2,36.7,29.7,21.3,30,8650,-6550,8850,-6350,2021/1/14 11:33,2021/1/14,11:33:00,41580
4,63.4,59.2,52.2,36.7,29.7,30,8150,-7050,8650,-6550,2021/1/14 11:34,2021/1/14,11:34:00,41640
5,49.4,63.4,59.2,52.2,36.7,30,8150,-7050,8150,-7050,2021/1/14 11:35,2021/1/14,11:35:00,41700
6,42.3,49.4,63.4,59.2,52.2,30,8350,-6850,8150,-7050,2021/1/14 11:36,2021/1/14,11:36:00,41760
7,36.7,42.3,49.4,63.4,59.2,30,9350,-5350,8350,-6850,2021/1/14 11:36,2021/1/14,11:36:00,41760
8,28.3,36.7,42.3,49.4,63.4,30,9350,-5350,9350,-5350,2021/1/14 11:37,2021/1/14,11:37:00,41820
9,12.8,28.3,36.7,42.3,49.4,30,9550,-5350,9350,-5350,2021/1/14 11:39,2021/1/14,11:39:00,41940
10,8.6,12.8,28.3,36.7,42.3,30,9750,-5350,9550,-5350,2021/1/14 11:40,2021/1/14,11:40:00,42000
11,10,8.6,12.8,28.3,36.7,30,9950,-5350,9750,-5350,2021/1/14 11:41,2021/1/14,11:41:00,42060
12,11.4,10,8.6,12.8,28.3,30,10150,-5350,9950,-5350,2021/1/14 11:42,2021/1/14,11:42:00,42120
13,8.6,11.4,10,8.6,12.8,30,10350,-5350,10150,-5350,2021/1/14 11:42,2021/1/14,11:42:00,42120
14,10,8.6,11.4,10,8.6,30,10550,-5350,10350,-5350,2021/1/14 11:43,2021/1/14,11:43:00,42180
