,ToolFace,TargetToolFace,TorP,TorN,outtime,date,time,ss
0,179.0,180,8500,-4000,2021/4/6 14:47,2021/4/6,14:47:23,53243
1,173.4,180,9000,-4000,2021/4/6 14:50,2021/4/6,14:50:02,53402
2,184.6,180,9000,-4000,2021/4/6 14:50,2021/4/6,14:50:28,53428
3,173.4,180,9000,-4000,2021/4/6 14:51,2021/4/6,14:51:33,53493
4,184.6,180,8500,-4000,2021/4/6 14:52,2021/4/6,14:52:03,53523
5,173.4,180,8500,-4000,2021/4/6 14:53,2021/4/6,14:53:05,53585
6,167.8,180,8500,-4000,2021/4/6 14:53,2021/4/6,14:53:35,53615
7,167.8,180,8700,-4000,2021/4/6 14:54,2021/4/6,14:54:42,53682
8,156.5,180,8900,-4000,2021/4/6 14:55,2021/4/6,14:55:12,53712
9,162.1,180,8900,-4000,2021/4/6 14:56,2021/4/6,14:56:08,53768
10,162.1,180,9100,-4000,2021/4/6 14:56,2021/4/6,14:56:38,53798
11,173.4,180,9100,-4000,2021/4/6 14:57,2021/4/6,14:57:56,53876
12,179.0,180,9100,-4000,2021/4/6 14:58,2021/4/6,14:58:25,53905
13,179.0,180,9100,-4000,2021/4/6 14:59,2021/4/6,14:59:30,53970
14,167.8,180,9100,-4000,2021/4/6 14:59,2021/4/6,14:59:56,53996
15,145.3,180,9300,-4000,2021/4/6 15:01,2021/4/6,15:01:01,54061
16,145.3,180,9800,-4000,2021/4/6 15:01,2021/4/6,15:01:29,54089
17,162.1,180,10300,-4000,2021/4/6 15:02,2021/4/6,15:02:32,54152
18,156.5,180,10300,-4000,2021/4/6 15:03,2021/4/6,15:03:00,54180
19,184.6,180,10100,-4200,2021/4/6 15:04,2021/4/6,15:04:05,54245
20,179.0,180,10100,-4200,2021/4/6 15:04,2021/4/6,15:04:40,54280
21,201.5,180,10100,-4200,2021/4/6 15:06,2021/4/6,15:06:34,54394
22,207.1,180,9900,-4400,2021/4/6 15:07,2021/4/6,15:07:02,54422
23,184.6,180,9700,-4600,2021/4/6 15:08,2021/4/6,15:08:04,54484
24,195.9,180,9700,-4600,2021/4/6 15:08,2021/4/6,15:08:37,54517
25,201.5,180,9700,-4600,2021/4/6 15:09,2021/4/6,15:09:38,54578
26,201.5,180,9500,-4800,2021/4/6 15:10,2021/4/6,15:10:06,54606
27,207.1,180,9300,-5000,2021/4/6 15:11,2021/4/6,15:11:08,54668
28,190.3,180,9100,-5200,2021/4/6 15:16,2021/4/6,15:16:19,54979
29,190.3,180,9300,-5000,2021/4/6 15:17,2021/4/6,15:17:19,55039
30,179.0,180,9500,-4800,2021/4/6 15:18,2021/4/6,15:18:49,55129
31,173.4,180,9500,-4800,2021/4/6 15:19,2021/4/6,15:19:16,55156
32,162.1,180,9500,-4800,2021/4/6 15:20,2021/4/6,15:20:20,55220
33,179.0,180,9700,-4800,2021/4/6 15:20,2021/4/6,15:20:52,55252
34,218.4,180,9700,-4800,2021/4/6 15:23,2021/4/6,15:23:33,55413
35,218.4,180,9200,-5300,2021/4/6 15:24,2021/4/6,15:24:02,55442
36,235.3,180,8700,-5800,2021/4/6 15:25,2021/4/6,15:25:04,55504
37,235.3,180,8200,-6300,2021/4/6 15:25,2021/4/6,15:25:33,55533
38,240.9,180,7700,-6800,2021/4/6 15:26,2021/4/6,15:26:37,55597
39,246.5,180,8500,-4000,2021/4/6 15:27,2021/4/6,15:27:05,55625
40,207.1,180,6500,-3500,2021/4/6 15:57,2021/4/6,15:57:36,57456
41,184.6,180,6500,-3500,2021/4/6 15:58,2021/4/6,15:58:45,57525
42,190.3,180,6500,-3500,2021/4/6 15:59,2021/4/6,15:59:13,57553
43,184.6,180,6700,-3300,2021/4/6 16:00,2021/4/6,16:00:11,57611
44,179.0,180,6700,-3300,2021/4/6 16:00,2021/4/6,16:00:41,57641
45,173.4,180,6700,-3300,2021/4/6 16:01,2021/4/6,16:01:44,57704
46,173.4,180,6700,-3300,2021/4/6 16:02,2021/4/6,16:02:17,57737
47,173.4,180,6700,-3300,2021/4/6 16:03,2021/4/6,16:03:16,57796
48,179.0,180,6700,-3300,2021/4/6 16:03,2021/4/6,16:03:50,57830
49,156.5,180,6700,-3300,2021/4/6 16:05,2021/4/6,16:05:06,57906
50,162.1,180,6700,-3300,2021/4/6 16:05,2021/4/6,16:05:36,57936
51,156.5,180,6700,-3300,2021/4/6 16:06,2021/4/6,16:06:39,57999
52,162.1,180,6700,-3300,2021/4/6 16:07,2021/4/6,16:07:06,58026
53,162.1,180,6700,-3300,2021/4/6 16:08,2021/4/6,16:08:14,58094
54,145.3,180,6700,-3300,2021/4/6 16:08,2021/4/6,16:08:40,58120
55,150.9,180,6700,-3300,2021/4/6 16:09,2021/4/6,16:09:47,58187
56,145.3,180,6700,-3300,2021/4/6 16:10,2021/4/6,16:10:14,58214
57,150.9,180,6700,-3300,2021/4/6 16:11,2021/4/6,16:11:18,58278
58,162.1,180,6700,-3300,2021/4/6 16:11,2021/4/6,16:11:47,58307
59,1.0,180,7200,-3300,2021/4/6 16:13,2021/4/6,16:13:45,58425
60,167.8,180,8200,-3300,2021/4/6 16:14,2021/4/6,16:14:08,58448
61,167.8,180,8000,-3500,2021/4/6 16:15,2021/4/6,16:15:10,58510
62,162.1,180,8000,-3500,2021/4/6 16:15,2021/4/6,16:15:39,58539
63,173.4,180,8700,-3500,2021/4/6 16:16,2021/4/6,16:16:50,58610
64,162.1,180,8700,-3500,2021/4/6 16:17,2021/4/6,16:17:11,58631
65,184.6,180,8700,-3500,2021/4/6 16:18,2021/4/6,16:18:22,58702
66,184.6,180,8700,-3500,2021/4/6 16:18,2021/4/6,16:18:49,58729
67,195.9,180,8700,-3500,2021/4/6 16:20,2021/4/6,16:20:14,58814
68,207.1,180,8500,-3700,2021/4/6 16:21,2021/4/6,16:21:26,58886
69,145.3,180,8500,-3700,2021/4/6 16:21,2021/4/6,16:21:47,58907
70,134.0,180,9000,-3700,2021/4/6 16:22,2021/4/6,16:22:51,58971
71,128.4,180,9500,-3700,2021/4/6 16:23,2021/4/6,16:23:24,59004
72,128.4,180,10000,-3700,2021/4/6 16:24,2021/4/6,16:24:30,59070
73,100.3,180,10000,-3700,2021/4/6 16:24,2021/4/6,16:24:54,59094
74,156.5,180,10500,-3500,2021/4/6 16:25,2021/4/6,16:25:57,59157
75,167.8,180,10300,-3700,2021/4/6 16:26,2021/4/6,16:26:31,59191
76,229.6,180,10300,-3700,2021/4/6 16:27,2021/4/6,16:27:28,59248
77,246.5,180,9800,-4200,2021/4/6 16:27,2021/4/6,16:27:57,59277
78,190.3,180,9300,-4700,2021/4/6 16:30,2021/4/6,16:30:40,59440
79,173.4,180,9500,-4500,2021/4/6 16:31,2021/4/6,16:31:12,59472
80,190.3,180,9500,-4500,2021/4/6 16:32,2021/4/6,16:32:12,59532
81,190.3,180,9500,-4500,2021/4/6 16:32,2021/4/6,16:32:44,59564
82,201.5,180,9300,-4700,2021/4/6 16:33,2021/4/6,16:33:44,59624
83,207.1,180,9300,-4700,2021/4/6 16:34,2021/4/6,16:34:18,59658
84,212.8,180,9300,-4700,2021/4/6 16:35,2021/4/6,16:35:15,59715
85,224.0,180,8800,-5200,2021/4/6 16:35,2021/4/6,16:35:43,59743
86,195.9,180,8300,-5700,2021/4/6 16:37,2021/4/6,16:37:14,59834
87,167.8,180,8500,-5500,2021/4/6 16:38,2021/4/6,16:38:36,59916
88,145.3,180,8700,-5500,2021/4/6 16:39,2021/4/6,16:39:04,59944
89,167.8,180,9200,-4500,2021/4/6 16:40,2021/4/6,16:40:09,60009
90,150.9,180,9000,-4700,2021/4/6 16:40,2021/4/6,16:40:39,60039
91,179.0,180,9000,-4900,2021/4/6 16:41,2021/4/6,16:41:42,60102
92,190.3,180,9000,-4900,2021/4/6 16:42,2021/4/6,16:42:10,60130
93,201.5,180,9000,-4900,2021/4/6 16:43,2021/4/6,16:43:18,60198
94,212.8,180,9000,-4900,2021/4/6 16:43,2021/4/6,16:43:43,60223
95,212.8,180,8500,-5400,2021/4/6 16:44,2021/4/6,16:44:45,60285
96,207.1,180,8000,-5900,2021/4/6 16:45,2021/4/6,16:45:12,60312
97,212.8,180,8000,-5900,2021/4/6 16:47,2021/4/6,16:47:17,60437
98,195.9,180,7500,-6400,2021/4/6 16:47,2021/4/6,16:47:42,60462
99,353.4,0,6700,-4500,2021/4/7 15:51,2021/4/7,15:51:18,57078
100,15.9,0,8700,-4500,2021/4/7 15:52,2021/4/7,15:52:31,57151
101,4.6,0,8500,-4700,2021/4/7 15:54,2021/4/7,15:54:03,57243
102,325.3,0,8500,-4700,2021/4/7 15:55,2021/4/7,15:55:31,57331
103,342.2,0,9000,-4700,2021/4/7 15:57,2021/4/7,15:57:06,57426
104,325.3,0,8800,-3900,2021/4/7 15:59,2021/4/7,15:59:07,57547
105,325.3,10,9300,-3900,2021/4/7 16:01,2021/4/7,16:01:35,57695
106,353.4,10,9800,-3900,2021/4/7 16:05,2021/4/7,16:05:44,57944
107,347.8,10,10000,-3900,2021/4/7 16:06,2021/4/7,16:06:15,57975
108,330.9,10,10200,-3900,2021/4/7 16:07,2021/4/7,16:07:12,58032
109,325.3,10,10700,-3900,2021/4/7 16:07,2021/4/7,16:07:39,58059
110,319.6,10,11200,-3900,2021/4/7 16:08,2021/4/7,16:08:48,58128
111,347.8,10,11700,-3900,2021/4/7 16:10,2021/4/7,16:10:15,58215
112,359.0,10,11500,-4000,2021/4/7 16:13,2021/4/7,16:13:21,58401
113,4.6,10,11500,-4000,2021/4/7 16:13,2021/4/7,16:13:48,58428
114,4.6,10,11500,-4000,2021/4/7 16:14,2021/4/7,16:14:55,58495
115,10.3,10,11500,-4000,2021/4/7 16:15,2021/4/7,16:15:20,58520
116,347.8,10,11500,-4000,2021/4/7 16:18,2021/4/7,16:18:07,58687
117,325.3,10,11700,-4000,2021/4/7 16:18,2021/4/7,16:18:33,58713
118,257.8,10,12200,-4000,2021/4/7 16:19,2021/4/7,16:19:34,58774
119,252.1,10,13200,-4000,2021/4/7 16:20,2021/4/7,16:20:07,58807
120,291.5,10,14200,-4000,2021/4/7 16:21,2021/4/7,16:21:10,58870
121,302.8,10,13200,-4500,2021/4/7 16:21,2021/4/7,16:21:42,58902
122,314.0,10,13200,-4500,2021/4/7 16:22,2021/4/7,16:22:39,58959
123,319.6,10,12200,-5000,2021/4/7 16:23,2021/4/7,16:23:14,58994
124,325.3,10,11200,-5500,2021/4/7 16:24,2021/4/7,16:24:12,59052
125,77.8,10,10200,-5500,2021/4/7 16:48,2021/4/7,16:48:32,60512
126,77.8,10,10200,-5500,2021/4/7 16:48,2021/4/7,16:48:52,60532
127,150.9,180,7700,-3000,2021/4/8 8:56,2021/4/8,8:56:44,32204
128,139.6,180,7700,-3000,2021/4/8 8:57,2021/4/8,8:57:12,32232
129,134.0,180,7700,-3000,2021/4/8 8:58,2021/4/8,8:58:19,32299
130,128.4,180,7700,-3000,2021/4/8 8:58,2021/4/8,8:58:45,32325
131,134.0,180,8200,-3000,2021/4/8 8:59,2021/4/8,8:59:45,32385
132,139.6,180,8200,-3000,2021/4/8 9:00,2021/4/8,9:00:10,32410
133,145.3,180,8200,-3000,2021/4/8 9:01,2021/4/8,9:01:16,32476
134,139.6,180,7200,-3500,2021/4/8 9:01,2021/4/8,9:01:42,32502
135,150.9,180,7700,-3500,2021/4/8 9:02,2021/4/8,9:02:45,32565
136,150.9,180,7500,-3700,2021/4/8 9:03,2021/4/8,9:03:13,32593
137,150.9,180,7500,-3700,2021/4/8 9:04,2021/4/8,9:04:36,32676
138,156.5,180,7500,-3700,2021/4/8 9:05,2021/4/8,9:05:04,32704
139,145.3,180,7500,-3700,2021/4/8 9:06,2021/4/8,9:06:08,32768
140,145.3,180,8500,-3200,2021/4/8 9:06,2021/4/8,9:06:35,32795
141,139.6,180,9000,-3200,2021/4/8 9:07,2021/4/8,9:07:42,32862
142,145.3,180,9500,-3200,2021/4/8 9:08,2021/4/8,9:08:08,32888
143,145.3,180,10000,-3200,2021/4/8 9:09,2021/4/8,9:09:12,32952
144,139.6,180,10500,-3200,2021/4/8 9:09,2021/4/8,9:09:43,32983
145,156.5,180,11000,-3200,2021/4/8 9:10,2021/4/8,9:10:48,33048
