,ACTIME,TIME,TARSTF,SGTF,TOR_P,TOR_N,DATE,ss2,time_interval
0,1/8/2020 03:38:49.88,03:38:49,20,37.6,8000,-4000,2020/8/1,27315529,0
1,1/8/2020 03:39:03.41,03:39:03,20,80.0,8000,-3000,2020/8/1,27315543,14
2,1/8/2020 03:41:03.47,03:41:03,20,109.6,8000,-3000,2020/8/1,27315663,120
3,1/8/2020 03:41:30.43,03:41:30,20,166.1,8000,-3000,2020/8/1,27315690,27
4,1/8/2020 03:42:06.52,03:42:06,20,170.3,8000,-3000,2020/8/1,27315726,36
5,1/8/2020 03:43:00.59,03:43:00,20,181.6,8000,-3000,2020/8/1,27315780,54
6,1/8/2020 03:44:03,03:44:03,20,190.1,8000,-3000,2020/8/1,27315843,63
7,1/8/2020 03:45:05.43,03:45:05,20,200.0,8000,-3000,2020/8/1,27315905,62
8,1/8/2020 03:46:18.25,03:46:18,20,208.5,8000,-3000,2020/8/1,27315978,73
9,1/8/2020 03:48:18.09,03:48:18,20,212.7,10000,-3000,2020/8/1,27316098,120
10,1/8/2020 03:48:44.11,03:48:44,20,221.2,10000,-3000,2020/8/1,27316124,26
11,1/8/2020 03:49:20.13,03:49:20,20,219.7,10000,-3000,2020/8/1,27316160,36
12,1/8/2020 03:50:14.26,03:50:14,20,293.2,8000,-4000,2020/8/1,27316214,54
13,1/8/2020 03:51:17.1,03:51:17,20,341.2,6000,-5000,2020/8/1,27316277,63
14,1/8/2020 03:52:20.3,03:52:20,20,13.6,6000,-5000,2020/8/1,27316340,63
15,1/8/2020 03:53:32.38,03:53:32,20,72.9,6000,-5000,2020/8/1,27316412,72
16,1/8/2020 03:55:32.38,03:55:32,20,96.9,6000,-5000,2020/8/1,27316532,120
17,1/8/2020 03:55:59.4,03:55:59,20,94.1,6000,-5000,2020/8/1,27316559,27
18,1/8/2020 03:56:35,03:56:35,20,96.9,6000,-5000,2020/8/1,27316595,36
19,1/8/2020 03:57:29.35,03:57:29,20,91.3,6000,-5000,2020/8/1,27316649,54
20,1/8/2020 03:59:35.51,03:59:35,20,105.4,6000,-5000,2020/8/1,27316775,126
21,1/8/2020 04:00:47.4,04:00:47,20,102.6,6000,-5000,2020/8/1,27316847,72
22,1/8/2020 04:02:47.06,04:02:47,20,78.6,6000,-5000,2020/8/1,27316967,120
23,1/8/2020 04:03:14.19,04:03:14,20,80.0,6000,-5000,2020/8/1,27316994,27
24,1/8/2020 04:03:51.49,04:03:51,20,84.2,6000,-5000,2020/8/1,27317031,37
25,1/8/2020 04:04:45.08,04:04:45,20,74.3,6000,-5000,2020/8/1,27317085,54
26,1/8/2020 04:05:48.21,04:05:48,20,74.3,6000,-5000,2020/8/1,27317148,63
27,1/8/2020 04:06:51.48,04:06:51,20,70.1,6000,-5000,2020/8/1,27317211,63
28,1/8/2020 04:08:03.27,04:08:03,20,64.5,6000,-5000,2020/8/1,27317283,72
29,1/8/2020 04:10:03.1,04:10:03,20,58.8,6000,-5000,2020/8/1,27317403,120
30,1/8/2020 04:10:30.59,04:10:30,20,56.0,6000,-5000,2020/8/1,27317430,27
31,1/8/2020 04:11:06.11,04:11:06,20,53.2,6000,-5000,2020/8/1,27317466,36
32,1/8/2020 04:12:00.32,04:12:00,20,51.7,6000,-5000,2020/8/1,27317520,54
33,1/8/2020 04:13:03.06,04:13:03,20,47.5,6000,-5000,2020/8/1,27317583,63
34,1/8/2020 04:14:06.4,04:14:06,20,40.5,8000,-5000,2020/8/1,27317646,63
35,1/8/2020 04:15:18.51,04:15:18,20,39.0,8000,-5000,2020/8/1,27317718,72
36,1/8/2020 04:17:18.58,04:17:18,20,36.2,7000,-5500,2020/8/1,27317838,120
37,1/8/2020 04:17:45.38,04:17:45,20,16.5,8000,-5000,2020/8/1,27317865,27
38,1/8/2020 04:18:20.36,04:18:20,20,15.0,8000,-5000,2020/8/1,27317900,35
39,1/8/2020 04:19:14.55,04:19:14,20,19.3,8000,-5000,2020/8/1,27317954,54
40,1/8/2020 04:20:17.67,04:20:17,20,8.0,8000,-5000,2020/8/1,27318017,63
41,1/8/2020 04:21:20.48,04:21:20,20,15.0,8000,-5000,2020/8/1,27318080,63
42,1/8/2020 04:21:47.43,04:21:47,20,12.2,8000,-5000,2020/8/1,27318107,27
43,1/8/2020 04:22:59.19,04:22:59,20,0.9,8000,-5000,2020/8/1,27318179,72
44,1/8/2020 04:24:59,04:24:59,20,3.7,9000,-6000,2020/8/1,27318299,120
45,1/8/2020 04:26:29.43,04:26:29,20,6.6,8000,-5000,2020/8/1,27318389,90
46,1/8/2020 04:27:32.02,04:27:32,20,359.5,8000,-5000,2020/8/1,27318452,63
47,1/8/2020 04:28:35.05,04:28:35,20,2.3,8000,-5000,2020/8/1,27318515,63
48,1/8/2020 04:29:48.02,04:29:48,20,8.0,8000,-5000,2020/8/1,27318588,73
49,1/8/2020 04:31:48.56,04:31:48,20,13.6,8000,-5000,2020/8/1,27318708,120
50,1/8/2020 04:32:15.56,04:32:15,20,10.8,8000,-5000,2020/8/1,27318735,27
51,1/8/2020 04:32:51.03,04:32:51,20,9.4,8000,-5000,2020/8/1,27318771,36
52,1/8/2020 04:33:45.34,04:33:45,20,20.7,8000,-5000,2020/8/1,27318825,54
53,1/8/2020 04:34:48.48,04:34:48,20,13.6,8000,-5000,2020/8/1,27318888,63
54,1/8/2020 04:35:51.16,04:35:51,20,26.3,8000,-5000,2020/8/1,27318951,63
55,1/8/2020 04:37:03.48,04:37:03,20,20.7,8000,-5000,2020/8/1,27319023,72
56,1/8/2020 04:39:03.32,04:39:03,20,19.3,8000,-5000,2020/8/1,27319143,120
57,1/8/2020 04:40:06.54,04:40:06,20,32.0,8000,-5000,2020/8/1,27319206,63
58,1/8/2020 04:41:00.14,04:41:00,20,19.3,8000,-5000,2020/8/1,27319260,54
59,1/8/2020 04:42:03.37,04:42:03,20,16.5,8000,-5000,2020/8/1,27319323,63
60,1/8/2020 04:43:06.53,04:43:06,20,20.7,8000,-5000,2020/8/1,27319386,63
61,1/8/2020 04:44:18.15,04:44:18,20,32.0,8000,-5000,2020/8/1,27319458,72
62,1/8/2020 04:46:18,04:46:18,20,22.1,7000,-5000,2020/8/1,27319578,120
63,1/8/2020 04:46:44.48,04:46:44,20,26.3,7000,-5000,2020/8/1,27319604,26
64,1/8/2020 04:47:20.01,04:47:20,20,24.9,7000,-5000,2020/8/1,27319640,36
65,1/8/2020 04:48:14.12,04:48:14,20,23.5,7000,-5000,2020/8/1,27319694,54
66,1/8/2020 04:49:17.51,04:49:17,20,20.7,7000,-5000,2020/8/1,27319757,63
67,1/8/2020 04:50:20.09,04:50:20,20,19.3,7000,-5000,2020/8/1,27319820,63
68,1/8/2020 04:50:47.15,04:50:47,20,20.7,7000,-5000,2020/8/1,27319847,27
69,1/8/2020 04:51:59.46,04:51:59,20,24.9,7000,-5000,2020/8/1,27319919,72
70,1/8/2020 04:54:00.49,04:54:00,20,23.5,8000,-6000,2020/8/1,27320040,121
71,1/8/2020 04:55:30.2,04:55:30,20,24.9,8000,-6000,2020/8/1,27320130,90
72,1/8/2020 04:56:33.44,04:56:33,20,19.3,8000,-6000,2020/8/1,27320193,63
73,1/8/2020 04:57:36.14,04:57:36,20,10.8,8000,-6000,2020/8/1,27320256,63
74,1/8/2020 04:58:48.39,04:58:48,20,0.9,9000,-5000,2020/8/1,27320328,72
75,1/8/2020 05:00:48.26,05:00:48,20,3.7,8000,-5000,2020/8/1,27320448,120
76,1/8/2020 05:01:15.34,05:01:15,20,351.0,8000,-5000,2020/8/1,27320475,27
77,1/8/2020 05:02:00.39,05:02:00,20,359.5,8000,-5000,2020/8/1,27320520,45
78,1/8/2020 05:02:45.09,05:02:45,20,358.1,8000,-5000,2020/8/1,27320565,45
79,1/8/2020 05:03:48.15,05:03:48,20,0.9,8000,-5000,2020/8/1,27320628,63
80,1/8/2020 05:04:15.39,05:04:15,20,3.7,8000,-5000,2020/8/1,27320655,27
81,1/8/2020 05:05:18.39,05:05:18,20,3.7,8000,-5000,2020/8/1,27320718,63
82,1/8/2020 05:06:03.67,05:06:03,20,0.9,8000,-5000,2020/8/1,27320763,45
83,1/8/2020 05:06:30.1,05:06:30,20,356.7,8000,-5000,2020/8/1,27320790,27
