,ACTIME,TIME,TARSTF,SGTF,dif,dif_s,TOR_P,TOR_N,DATE,ss2,time_interval
0,10/4/2020 13:00:00,13:00:00,340,342.6,-2.6,-0.014444443999999999,4500,-3500,2020/4/10,17586000,0
1,10/4/2020 13:01:13,13:01:13,340,298.8,41.2,0.22888888899999998,5000,-3500,2020/4/10,17586073,73
2,10/4/2020 13:02:42,13:02:42,340,286.1,53.9,0.299444444,5500,-3500,2020/4/10,17586162,89
3,10/4/2020 13:04:12,13:04:12,340,279.0,61.0,0.33888888899999997,6000,-3500,2020/4/10,17586252,90
4,10/4/2020 13:06:48,13:06:48,340,266.3,73.7,0.40944444399999996,6500,-3500,2020/4/10,17586408,156
5,10/4/2020 13:06:54,13:06:54,340,274.8,65.2,0.36222222200000004,6500,-3500,2020/4/10,17586414,6
6,10/4/2020 13:07:51,13:07:51,340,277.6,62.4,0.34666666700000004,7000,-3500,2020/4/10,17586471,57
7,10/4/2020 13:08:34,13:08:34,340,288.9,51.1,0.283888889,7000,-3500,2020/4/10,17586514,43
8,10/4/2020 13:09:21,13:09:21,340,287.5,52.5,0.291666667,7000,-3500,2020/4/10,17586561,47
9,10/4/2020 13:10:14,13:10:14,340,305.8,34.2,0.19,7000,-3500,2020/4/10,17586614,53
10,10/4/2020 13:10:51,13:10:51,340,308.7,31.3,0.173888889,6000,-3500,2020/4/10,17586651,37
11,10/4/2020 13:11:54,13:11:54,340,321.4,18.6,0.10333333300000001,5800,-3500,2020/4/10,17586714,63
12,10/4/2020 13:13:18,13:13:18,340,355.3,-15.3,-0.085,5600,-3500,2020/4/10,17586798,84
13,10/4/2020 13:13:58,13:13:58,340,345.4,-5.4,-0.03,5600,-3500,2020/4/10,17586838,40
14,10/4/2020 13:14:48,13:14:48,340,342.6,-2.6,-0.014444443999999999,5600,-3500,2020/4/10,17586888,50
15,10/4/2020 13:15:15,13:15:15,340,349.6,-9.6,-0.053333333,5600,-3500,2020/4/10,17586915,27
16,10/4/2020 13:16:19,13:16:19,340,341.1,-1.1,-0.006111111,5600,-3500,2020/4/10,17586979,64
17,10/4/2020 13:16:54,13:16:54,340,336.9,3.1,0.017222222,5600,-3500,2020/4/10,17587014,35
18,10/4/2020 13:18:35,13:18:35,340,325.6,14.4,0.08,5800,-3500,2020/4/10,17587115,101
19,10/4/2020 13:19:21,13:19:21,340,321.4,18.6,0.10333333300000001,5800,-3500,2020/4/10,17587161,46
20,10/4/2020 13:19:58,13:19:58,340,327.0,13.0,0.072222222,5800,-3500,2020/4/10,17587198,37
21,10/4/2020 13:20:52,13:20:52,340,322.8,17.2,0.095555556,6000,-3500,2020/4/10,17587252,54
22,10/4/2020 13:21:27,13:21:27,340,317.1,22.9,0.127222222,6000,-3500,2020/4/10,17587287,35
23,10/4/2020 13:22:22,13:22:22,340,315.7,24.3,0.135,6000,-3500,2020/4/10,17587342,55
24,10/4/2020 13:22:59,13:22:59,340,325.6,14.4,0.08,6200,-3500,2020/4/10,17587379,37
25,10/4/2020 13:23:36,13:23:36,340,331.3,8.7,0.048333333,6200,-3500,2020/4/10,17587416,37
