dif,ToolFace,TargetToolFace,TorP,TorN,outtime,date,time,ss,time_interval
-161.7,218.3,20,8000,-5000,31/7/2020 20:03:54.08,2020/7/31,20:03:54,27288234,0
-139.1,240.9,20,8000,-5000,31/7/2020 20:04:28.02,2020/7/31,20:04:28,27288268,34
-53.0,327.0,20,8000,-5000,31/7/2020 20:05:23.2,2020/7/31,20:05:23,27288323,55
17.6,37.6,20,8000,-5000,31/7/2020 20:05:50.17,2020/7/31,20:05:50,27288350,27
61.400000000000006,81.4,20,6000,-5000,31/7/2020 20:07:29.15,2020/7/31,20:07:29,27288449,99
69.9,89.9,20,6000,-5000,31/7/2020 20:08:41.37,2020/7/31,20:08:41,27288521,72
61.400000000000006,81.4,20,8000,-5000,31/7/2020 20:10:41,2020/7/31,20:10:41,27288641,120
67.0,87.0,20,8000,-5000,31/7/2020 20:11:08.01,2020/7/31,20:11:08,27288668,27
62.8,82.8,20,8000,-5000,31/7/2020 20:11:44.5,2020/7/31,20:11:44,27288704,36
61.400000000000006,81.4,20,8000,-5000,31/7/2020 20:12:38.4,2020/7/31,20:12:38,27288758,54
62.8,82.8,20,8000,-5000,31/7/2020 20:13:41.54,2020/7/31,20:13:41,27288821,63
51.5,71.5,20,8000,-5000,31/7/2020 20:14:44.42,2020/7/31,20:14:44,27288884,63
48.7,68.7,20,8000,-5000,31/7/2020 20:15:56.13,2020/7/31,20:15:56,27288956,72
50.099999999999994,70.1,20,8000,-5000,31/7/2020 20:17:56.35,2020/7/31,20:17:56,27289076,120
58.599999999999994,78.6,20,8000,-5000,31/7/2020 20:18:23.52,2020/7/31,20:18:23,27289103,27
52.900000000000006,72.9,20,8000,-5000,31/7/2020 20:18:59.03,2020/7/31,20:18:59,27289139,36
62.8,82.8,20,8000,-5000,31/7/2020 20:20:56.27,2020/7/31,20:20:56,27289256,117
62.8,82.8,20,8000,-5000,31/7/2020 20:21:59.49,2020/7/31,20:21:59,27289319,63
54.3,74.3,20,8000,-5000,31/7/2020 20:23:11.32,2020/7/31,20:23:11,27289391,72
51.5,71.5,20,8000,-5000,31/7/2020 20:25:11.22,2020/7/31,20:25:11,27289511,120
55.7,75.7,20,8000,-5000,31/7/2020 20:25:38.2,2020/7/31,20:25:38,27289538,27
62.8,82.8,20,8000,-5000,31/7/2020 20:26:14.58,2020/7/31,20:26:14,27289574,36
57.2,77.2,20,8000,-5000,31/7/2020 20:27:08.09,2020/7/31,20:27:08,27289628,54
52.900000000000006,72.9,20,8000,-5000,31/7/2020 20:28:11.26,2020/7/31,20:28:11,27289691,63
50.099999999999994,70.1,20,8000,-5000,31/7/2020 20:29:14.3,2020/7/31,20:29:14,27289754,63
44.5,64.5,20,8000,-5000,31/7/2020 20:30:54.13,2020/7/31,20:30:54,27289854,100
40.2,60.2,20,8000,-5000,31/7/2020 20:32:27.3,2020/7/31,20:32:27,27289947,93
41.6,61.6,20,8000,-5000,31/7/2020 20:33:29.09,2020/7/31,20:33:29,27290009,62
45.900000000000006,65.9,20,8000,-5000,31/7/2020 20:35:26.18,2020/7/31,20:35:26,27290126,117
47.3,67.3,20,8000,-5000,31/7/2020 20:36:29.11,2020/7/31,20:36:29,27290189,63
41.6,61.6,20,8000,-5000,31/7/2020 20:37:41.56,2020/7/31,20:37:41,27290261,72
40.2,60.2,20,8000,-5000,31/7/2020 20:39:41.34,2020/7/31,20:39:41,27290381,120
43.0,63.0,20,8000,-5000,31/7/2020 20:40:08.53,2020/7/31,20:40:08,27290408,27
40.2,60.2,20,8000,-5000,31/7/2020 20:40:44.54,2020/7/31,20:40:44,27290444,36
51.5,71.5,20,8000,-5000,31/7/2020 20:41:38.56,2020/7/31,20:41:38,27290498,54
43.0,63.0,20,8000,-5000,31/7/2020 20:42:41.24,2020/7/31,20:42:41,27290561,63
43.0,63.0,20,8000,-5000,31/7/2020 20:43:44.38,2020/7/31,20:43:44,27290624,63
45.900000000000006,65.9,20,8000,-5000,31/7/2020 20:44:56.29,2020/7/31,20:44:56,27290696,72
38.8,58.8,20,8000,-5000,31/7/2020 20:46:56.04,2020/7/31,20:46:56,27290816,120
43.0,63.0,20,8000,-5000,31/7/2020 20:47:23.17,2020/7/31,20:47:23,27290843,27
51.5,71.5,20,8000,-5000,31/7/2020 20:48:53.06,2020/7/31,20:48:53,27290933,90
51.5,71.5,20,8000,-5000,31/7/2020 20:49:56.57,2020/7/31,20:49:56,27290996,63
51.5,71.5,20,8000,-5000,31/7/2020 20:50:59.42,2020/7/31,20:50:59,27291059,63
58.599999999999994,78.6,20,8000,-5000,31/7/2020 20:54:11.34,2020/7/31,20:54:11,27291251,192
50.099999999999994,70.1,20,8000,-5000,31/7/2020 20:54:38.61,2020/7/31,20:54:38,27291278,27
60.0,80.0,20,8000,-5000,31/7/2020 20:55:14.43,2020/7/31,20:55:14,27291314,36
